#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.4789616861e+01    1.2112632889e+03   -4.8150237233e+01    1.3360620372e+01   -9.6981001028e+00    3.8971603060e+00   -5.9311979616e+00   -3.6418099474e+01    2.0480000000e+04    2.1816635720e+00    6.8130289714e-01
         1   -3.4810896899e+01    1.2127153534e+03   -4.8172316571e+01    1.3361419673e+01   -9.7294141251e+00    3.9068814108e+00   -5.9316843828e+00   -3.6418099474e+01    2.0480000000e+04    2.1813846820e+00    6.8186442057e-01
         2   -3.4802687516e+01    1.2121850469e+03   -4.8164974669e+01    1.3362287154e+01   -9.6576420836e+00    3.8466431034e+00   -5.9358762150e+00   -3.6418099474e+01    2.0480000000e+04    2.1815908060e+00    6.8191673642e-01
         3   -3.4791229272e+01    1.2113510434e+03   -4.8102814983e+01    1.3311585712e+01   -9.7312279143e+00    3.9723582940e+00   -5.9258458889e+00   -3.6418099474e+01    2.0480000000e+04    2.1855053810e+00    6.8150634766e-01
         4   -3.4783083455e+01    1.2108045737e+03   -4.8101378781e+01    1.3318295325e+01   -9.6942575865e+00    3.9366809975e+00   -5.9257027174e+00   -3.6418099474e+01    2.0480000000e+04    2.1845159370e+00    6.8235328311e-01
         5   -3.4783689253e+01    1.2108456162e+03   -4.8125771218e+01    1.3342081965e+01   -9.7437317092e+00    3.9486534835e+00   -5.9125935185e+00   -3.6418099474e+01    2.0480000000e+04    2.2524757950e+00    6.8181268601e-01
         6   -3.4785754226e+01    1.2109840820e+03   -4.8081616091e+01    1.3295861865e+01   -9.6789705395e+00    3.9270600574e+00   -5.9116061352e+00   -3.6418099474e+01    2.0480000000e+04    2.1905475590e+00    6.8203938802e-01
         7   -3.4801778222e+01    1.2120926552e+03   -4.8175121336e+01    1.3373343114e+01   -9.7188123129e+00    3.8639522218e+00   -5.9021617707e+00   -3.6418099474e+01    2.0480000000e+04    2.1862650400e+00    6.8130522228e-01
         8   -3.4788034063e+01    1.2111314491e+03   -4.8150081450e+01    1.3362047387e+01   -9.7129364765e+00    3.8859079156e+00   -5.9049534154e+00   -3.6418099474e+01    2.0480000000e+04    2.1885202240e+00    6.8190976097e-01
         9   -3.4788230947e+01    1.2111731516e+03   -4.8099849461e+01    1.3311618514e+01   -9.7480072904e+00    3.9840787697e+00   -5.9178214661e+00   -3.6418099474e+01    2.0480000000e+04    2.1952713270e+00    6.8156738281e-01
        10   -3.4793000883e+01    1.2114583676e+03   -4.8175784337e+01    1.3382783454e+01   -9.7429510091e+00    3.9041158338e+00   -5.9188496870e+00   -3.6418099474e+01    2.0480000000e+04    2.1920092390e+00    6.8171096075e-01
        11   -3.4784384139e+01    1.2108788164e+03   -4.8168029082e+01    1.3383644943e+01   -9.6709375021e+00    3.8495903638e+00   -5.9285824691e+00   -3.6418099474e+01    2.0480000000e+04    2.1900313500e+00    6.8120117187e-01
        12   -3.4787238255e+01    1.2110722022e+03   -4.8167211687e+01    1.3379973432e+01   -9.7141097510e+00    3.9152748956e+00   -5.9502773572e+00   -3.6418099474e+01    2.0480000000e+04    2.1929475750e+00    6.8121919178e-01
