#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5383592343e+01    1.2529089697e+03   -4.7718793267e+01    1.2335200924e+01   -9.0781831528e+00    3.9794578707e+00   -6.2019685110e+00   -3.6418099474e+01    1.0229432390e+04    2.8846535400e-01    9.9731863184e-01
         1   -3.5425690832e+01    1.2558265289e+03   -4.7738303286e+01    1.2312612454e+01   -9.1022929136e+00    3.9820387765e+00   -6.1999496747e+00   -3.6418099474e+01    1.0253203919e+04    2.6174133400e-01    9.9713215050e-01
         2   -3.5466024524e+01    1.2586236779e+03   -4.7739429551e+01    1.2273405027e+01   -9.0232507795e+00    3.9287075772e+00   -6.2267868748e+00   -3.6418099474e+01    1.0236712594e+04    2.7015236600e-01    9.9713028907e-01
         3   -3.5530285272e+01    1.2632218955e+03   -4.7802747003e+01    1.2272461732e+01   -8.9407783559e+00    3.8258465344e+00   -6.2697157078e+00   -3.6418099474e+01    1.0237615388e+04    2.8902760200e-01    9.9725033150e-01
         4   -3.5546009854e+01    1.2642891141e+03   -4.7830466495e+01    1.2284456641e+01   -8.9392369192e+00    3.8123772389e+00   -6.2855073408e+00   -3.6418099474e+01    1.0284496559e+04    2.7698519800e-01    9.9727973874e-01
         5   -3.5575418643e+01    1.2664116346e+03   -4.7861999218e+01    1.2286580575e+01   -8.9383232246e+00    3.7713602777e+00   -6.2769367967e+00   -3.6418099474e+01    1.0264692111e+04    2.5181029000e-01    9.9730254640e-01
         6   -3.5587284394e+01    1.2672519531e+03   -4.7851864298e+01    1.2264579904e+01   -8.9506440851e+00    3.8276232919e+00   -6.3107440308e+00   -3.6418099474e+01    1.0218424158e+04    2.4518609000e-01    9.9738104562e-01
         7   -3.5614266107e+01    1.2691569898e+03   -4.7939330362e+01    1.2325064255e+01   -8.8951215840e+00    3.6968446752e+00   -6.3229539795e+00   -3.6418099474e+01    1.0155444145e+04    2.4141284200e-01    9.9751133452e-01
         8   -3.5608149624e+01    1.2686558325e+03   -4.7902720950e+01    1.2294571327e+01   -8.9426158680e+00    3.7180204672e+00   -6.2600260755e+00   -3.6418099474e+01    1.0138449792e+04    2.4305423500e-01    9.9716245559e-01
         9   -3.5609884302e+01    1.2687794065e+03   -4.7896479330e+01    1.2286595028e+01   -8.9362034870e+00    3.7453635102e+00   -6.2875398786e+00   -3.6418099474e+01    1.0127416665e+04    2.5652151400e-01    9.9732848673e-01
        10   -3.5609026242e+01    1.2687310692e+03   -4.7930022879e+01    1.2320996637e+01   -8.9386418458e+00    3.7199959115e+00   -6.2932774707e+00   -3.6418099474e+01    1.0235637934e+04    2.5831333400e-01    9.9728442980e-01
