# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.5626059537e+01    6.5982034567e-01    2.0481009863e+03    2.0480000000e+03    0.0000000000e+00   -3.5616179088e+01    9.9833468930e-01    1.0000000000e+00
         1   -3.5628366284e+01    6.5739314839e-01    2.0480238080e+03    2.0480000000e+03    0.0000000000e+00   -3.5630990385e+01    9.9810903465e-01    9.9121093750e-01
         2   -3.5630894143e+01    6.8445316281e-01    2.0360029171e+03    2.0360000000e+03    5.6250000000e-01   -3.5629528775e+01    9.9790122036e-01    9.9705304519e-01
         3   -3.5637859174e+01    6.6963319746e-01    2.0490663785e+03    2.0370000000e+03    3.7500000000e-01   -3.5043376569e+01    9.9865037420e-01    1.0000000000e+00
         4   -3.5650744956e+01    6.8458068102e-01    2.0530332256e+03    2.0540000000e+03    3.7500000000e-01   -3.5689914884e+01    9.9798667026e-01    9.9561830574e-01
         5   -3.5648027387e+01    6.9114074251e-01    2.0439626143e+03    2.0490000000e+03    4.3750000000e-01   -3.5896206424e+01    9.9814418425e-01    9.9560761347e-01
         6   -3.5654194837e+01    6.7729354555e-01    2.0460624122e+03    2.0420000000e+03    3.7500000000e-01   -3.5450694840e+01    9.9854458978e-01    9.9951028404e-01
         7   -3.5649050228e+01    6.6653186537e-01    2.0588879275e+03    2.0570000000e+03    4.3750000000e-01   -3.5559541276e+01    9.9772937497e-01    9.9659698590e-01
         8   -3.5649860022e+01    6.5597317229e-01    2.0511562069e+03    2.0620000000e+03    5.6250000000e-01   -3.6179279110e+01    9.9810503482e-01    9.9175557711e-01
         9   -3.5652391200e+01    6.4808705503e-01    2.0439080070e+03    2.0470000000e+03    4.3750000000e-01   -3.5803853058e+01    9.9840359344e-01    9.9560332193e-01
        10   -3.5662861102e+01    6.7690426802e-01    2.0472050533e+03    2.0430000000e+03    1.8750000000e-01   -3.5452386979e+01    9.9862895038e-01    9.9951052374e-01
        11   -3.5665367046e+01    6.8413957451e-01    2.0538161560e+03    2.0530000000e+03    4.3750000000e-01   -3.5624037807e+01    9.9845438659e-01    9.9610326352e-01
        12   -3.5656506726e+01    7.0440043229e-01    2.0461211455e+03    2.0520000000e+03    3.7500000000e-01   -3.5948956542e+01    9.9823555707e-01    9.9561403509e-01
