#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5813259870e+01    1.2834447640e+03   -4.7559096039e+01    1.1745836169e+01   -8.4695303440e+00    3.6476565129e+00   -6.3191227340e+00   -3.6418099474e+01    1.0233330771e+04    1.0099877680e+00    9.9713237862e-01
         1   -3.5868915919e+01    1.2874665459e+03   -4.7573072993e+01    1.1704157074e+01   -8.4249994470e+00    3.6217185806e+00   -6.3516926525e+00   -3.6418099474e+01    1.0234403914e+04    1.0137987580e+00    9.9717622585e-01
         2   -3.5895234294e+01    1.2893017716e+03   -4.7573873089e+01    1.1678638795e+01   -8.4635853380e+00    3.6841227929e+00   -6.3763110696e+00   -3.6418099474e+01    1.0228877030e+04    1.0088115670e+00    9.9731164000e-01
         3   -3.5930455363e+01    1.2917760774e+03   -4.7612577165e+01    1.1682121802e+01   -8.5113682117e+00    3.6951703959e+00   -6.3782798753e+00   -3.6418099474e+01    1.0223081192e+04    1.0041326990e+00    9.9706347651e-01
         4   -3.5957760744e+01    1.2937753168e+03   -4.7759748336e+01    1.1801987592e+01   -8.5468292259e+00    3.6008944600e+00   -6.3957140962e+00   -3.6418099474e+01    1.0227009732e+04    1.0130242850e+00    9.9717750950e-01
         5   -3.5951724840e+01    1.2933233934e+03   -4.7663522025e+01    1.1711797185e+01   -8.5612362691e+00    3.7301784583e+00   -6.4143647396e+00   -3.6418099474e+01    1.0153736504e+04    1.0025712930e+00    9.9711204289e-01
         6   -3.6006886691e+01    1.2972544869e+03   -4.7694744208e+01    1.1687857517e+01   -8.4213619134e+00    3.5848668534e+00   -6.4401496743e+00   -3.6418099474e+01    1.0092865971e+04    9.9878428400e-01    9.9709170516e-01
         7   -3.6029553706e+01    1.2989029921e+03   -4.7712632234e+01    1.1683078528e+01   -8.4473606599e+00    3.6155647802e+00   -6.4627368804e+00   -3.6418099474e+01    1.0061310354e+04    9.9243698700e-01    9.9727380005e-01
         8   -3.6040725043e+01    1.2999046731e+03   -4.7712205668e+01    1.1671480625e+01   -8.4957693746e+00    3.6651130084e+00   -6.4634498274e+00   -3.6418099474e+01    1.0130334322e+04    9.9835073200e-01    9.9694351503e-01
         9   -3.6018809296e+01    1.2981986458e+03   -4.7774915368e+01    1.1756106071e+01   -8.5255510706e+00    3.6255303680e+00   -6.4567951908e+00   -3.6418099474e+01    1.0156998526e+04    1.0053529160e+00    9.9730551139e-01
        10   -3.6038645088e+01    1.2996016963e+03   -4.7805233459e+01    1.1766588371e+01   -8.4913311085e+00    3.6030396508e+00   -6.4988425266e+00   -3.6418099474e+01    1.0110133942e+04    9.9731772300e-01    9.9716435431e-01
        11   -3.6050531435e+01    1.3004274076e+03   -4.7859101052e+01    1.1808569618e+01   -8.5221435936e+00    3.5734506422e+00   -6.4923086268e+00   -3.6418099474e+01    1.0185504919e+04    1.0047711640e+00    9.9689044250e-01
        12   -3.6054381349e+01    1.3006458095e+03   -4.7774511339e+01    1.1720129990e+01   -8.5339454611e+00    3.6852361641e+00   -6.5077025682e+00   -3.6418099474e+01    1.0216469129e+04    1.0102569530e+00    9.9718008285e-01
        13   -3.6067846677e+01    1.3016525352e+03   -4.7788396872e+01    1.1720550194e+01   -8.5267092864e+00    3.6522474400e+00   -6.4958355510e+00   -3.6418099474e+01    1.0321198698e+04    1.0353039420e+00    9.9715310872e-01
        14   -3.6062870469e+01    1.3012496621e+03   -4.7694718390e+01    1.1631847921e+01   -8.5257524180e+00    3.7279964424e+00   -6.4788629401e+00   -3.6418099474e+01    1.0357478435e+04    1.0877055520e+00    9.9725725878e-01
        15   -3.6044280683e+01    1.2999794184e+03   -4.7679993643e+01    1.1635712960e+01   -8.5606382815e+00    3.7797688258e+00   -6.4810247136e+00   -3.6418099474e+01    1.0329207594e+04    1.0331189000e+00    9.9709845205e-01
        16   -3.6059059123e+01    1.3010186950e+03   -4.7804415409e+01    1.1745356286e+01   -8.5681179355e+00    3.6836944867e+00   -6.5018924865e+00   -3.6418099474e+01    1.0303785494e+04    1.0263805800e+00    9.9717378941e-01
        17   -3.6083943210e+01    1.3027892543e+03   -4.7883857425e+01    1.1799914214e+01   -8.5548643800e+00    3.5854124076e+00   -6.4963059781e+00   -3.6418099474e+01    1.0353445998e+04    1.0632714140e+00    9.9712766692e-01
        18   -3.6073938974e+01    1.3020646337e+03   -4.7810962346e+01    1.1737023372e+01   -8.5522719292e+00    3.6636140110e+00   -6.5042049533e+00   -3.6418099474e+01    1.0396285289e+04    1.0443704500e+00    9.9710257503e-01
        19   -3.6071607628e+01    1.3018802457e+03   -4.7789015638e+01    1.1717408010e+01   -8.4765459902e+00    3.6106851913e+00   -6.5050553653e+00   -3.6418099474e+01    1.0405095516e+04    1.0412687690e+00    9.9715343305e-01
        20   -3.6057764410e+01    1.3008804816e+03   -4.7820217675e+01    1.1762453266e+01   -8.4524844651e+00    3.5464730697e+00   -6.4961068058e+00   -3.6418099474e+01    1.0414427451e+04    1.0414955440e+00    9.9715698647e-01
        21   -3.6060993105e+01    1.3010930620e+03   -4.7806428271e+01    1.1745435166e+01   -8.4488225407e+00    3.5778428673e+00   -6.5173491235e+00   -3.6418099474e+01    1.0374500800e+04    1.0588458690e+00    9.9709066119e-01
        22   -3.6055116866e+01    1.3007241615e+03   -4.7776117401e+01    1.1721000535e+01   -8.4884876522e+00    3.6630959137e+00   -6.5326261879e+00   -3.6418099474e+01    1.0362766874e+04    1.0392383310e+00    9.9706717580e-01
        23   -3.6063963237e+01    1.3013611144e+03   -4.7710883491e+01    1.1646920254e+01   -8.4801411269e+00    3.6811144255e+00   -6.4937573154e+00   -3.6418099474e+01    1.0389475919e+04    1.0342076570e+00    9.9716706089e-01
        24   -3.6060578528e+01    1.3011132953e+03   -4.7779664666e+01    1.1719086138e+01   -8.4706438572e+00    3.6379315483e+00   -6.5288528829e+00   -3.6418099474e+01    1.0394468024e+04    1.0342560260e+00    9.9709310316e-01
        25   -3.6062460882e+01    1.3012452414e+03   -4.7714773302e+01    1.1652312419e+01   -8.5151395905e+00    3.7471898225e+00   -6.5287240593e+00   -3.6418099474e+01    1.0368746109e+04    1.0394008040e+00    9.9700629745e-01
        26   -3.6059584054e+01    1.3010651602e+03   -4.7767794407e+01    1.1708210353e+01   -8.5066179865e+00    3.6824372645e+00   -6.5255142107e+00   -3.6418099474e+01    1.0421507776e+04    1.0461434550e+00    9.9707007155e-01
        27   -3.6066339525e+01    1.3015286410e+03   -4.7785048168e+01    1.1718708643e+01   -8.4722297307e+00    3.6157913971e+00   -6.5105103606e+00   -3.6418099474e+01    1.0400285674e+04    1.0436377950e+00    9.9704641930e-01
        28   -3.6052690941e+01    1.3005765761e+03   -4.7729287076e+01    1.1676596135e+01   -8.4470959960e+00    3.6423254289e+00   -6.5064170349e+00   -3.6418099474e+01    1.0426659024e+04    1.0404225150e+00    9.9705491555e-01
        29   -3.6063931778e+01    1.3013119292e+03   -4.7662276190e+01    1.1598344413e+01   -8.4328721913e+00    3.7005740360e+00   -6.5118785608e+00   -3.6418099474e+01    1.0415555374e+04    1.0381325570e+00    9.9732871545e-01
        30   -3.6045448032e+01    1.2999910117e+03   -4.7615458207e+01    1.1570010175e+01   -8.4813525819e+00    3.8066613200e+00   -6.5226674710e+00   -3.6418099474e+01    1.0429732520e+04    1.0385983140e+00    9.9716585887e-01
        31   -3.6078765694e+01    1.3023981280e+03   -4.7746608005e+01    1.1667842311e+01   -8.4666059744e+00    3.6433870802e+00   -6.5052896366e+00   -3.6418099474e+01    1.0477441325e+04    1.0445438570e+00    9.9704426444e-01
        32   -3.6076082157e+01    1.3022247917e+03   -4.7809207167e+01    1.1733125010e+01   -8.3643495225e+00    3.4835402897e+00   -6.5102984602e+00   -3.6418099474e+01    1.0515361374e+04    1.0470988670e+00    9.9711636438e-01
        33   -3.6090372235e+01    1.3032806845e+03   -4.7810430401e+01    1.1720058166e+01   -8.3298469849e+00    3.4588882773e+00   -6.5213722190e+00   -3.6418099474e+01    1.0538127240e+04    1.0523636970e+00    9.9721702462e-01
        34   -3.6112560429e+01    1.3048941327e+03   -4.7716499156e+01    1.1603938727e+01   -8.3895489731e+00    3.6171432904e+00   -6.5259939994e+00   -3.6418099474e+01    1.0504105311e+04    1.0417076990e+00    9.9703288328e-01
        35   -3.6104013147e+01    1.3042852813e+03   -4.7754802261e+01    1.1650789114e+01   -8.3657998730e+00    3.5643191154e+00   -6.5352220289e+00   -3.6418099474e+01    1.0591804874e+04    1.0637774920e+00    9.9727116952e-01
        36   -3.6081583309e+01    1.3026581484e+03   -4.7670525900e+01    1.1588942591e+01   -8.3789258913e+00    3.6659692002e+00   -6.5394697344e+00   -3.6418099474e+01    1.0625789894e+04    1.0666014290e+00    9.9720052696e-01
        37   -3.6092498776e+01    1.3035232440e+03   -4.7698784760e+01    1.1606285984e+01   -8.3402672826e+00    3.5736509297e+00   -6.5140689328e+00   -3.6418099474e+01    1.0611115868e+04    1.0582188380e+00    9.9708887513e-01
        38   -3.6087808534e+01    1.3031124071e+03   -4.7752499540e+01    1.1664691007e+01   -8.3886127269e+00    3.5587694305e+00   -6.5045567697e+00   -3.6418099474e+01    1.0584723816e+04    1.0588678840e+00    9.9691949524e-01
        39   -3.6076358712e+01    1.3022267032e+03   -4.7700245562e+01    1.1623886850e+01   -8.4704490974e+00    3.7233227071e+00   -6.5350196974e+00   -3.6418099474e+01    1.0541547879e+04    1.0537482930e+00    9.9717171580e-01
