#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5475748093e+01    1.2593846824e+03   -4.7699908317e+01    1.2224160224e+01   -8.8342617907e+00    3.7801072637e+00   -6.2276543160e+00   -3.6418099474e+01    1.0240962583e+04    2.6887394100e-01    9.9728628633e-01
         1   -3.5515640446e+01    1.2621764980e+03   -4.7824836726e+01    1.2309196280e+01   -8.9214672293e+00    3.7536625564e+00   -6.2389325785e+00   -3.6418099474e+01    1.0246425605e+04    2.7297795200e-01    9.9709059233e-01
         2   -3.5575022243e+01    1.2663869128e+03   -4.7808284484e+01    1.2233262241e+01   -8.9296786242e+00    3.7841738161e+00   -6.2446802018e+00   -3.6418099474e+01    1.0231501386e+04    2.6972464700e-01    9.9732282475e-01
         3   -3.5598689153e+01    1.2680751708e+03   -4.7782032137e+01    1.2183342985e+01   -8.9789519862e+00    3.8637380412e+00   -6.2487187182e+00   -3.6418099474e+01    1.0243948559e+04    2.6549118200e-01    9.9734365196e-01
         4   -3.5627062003e+01    1.2700522441e+03   -4.7835061402e+01    1.2207999400e+01   -8.9608974618e+00    3.8207362567e+00   -6.2768007231e+00   -3.6418099474e+01    1.0224891067e+04    2.6537580600e-01    9.9728823036e-01
         5   -3.5631154660e+01    1.2703375478e+03   -4.7803282376e+01    1.2172127716e+01   -8.8956891053e+00    3.8036376686e+00   -6.2931314650e+00   -3.6418099474e+01    1.0196191115e+04    2.6222970900e-01    9.9734113361e-01
         6   -3.5640238989e+01    1.2709722643e+03   -4.7827569682e+01    1.2187330693e+01   -8.9084294945e+00    3.8199102255e+00   -6.3209509387e+00   -3.6418099474e+01    1.0118638854e+04    2.7499362400e-01    9.9740131347e-01
         7   -3.5649084405e+01    1.2715890027e+03   -4.7890127233e+01    1.2241042828e+01   -8.8765868020e+00    3.7304530654e+00   -6.3258940219e+00   -3.6418099474e+01    1.0094797911e+04    2.7743518100e-01    9.9736983702e-01
         8   -3.5659261440e+01    1.2723285446e+03   -4.7889077978e+01    1.2229816538e+01   -8.8281130556e+00    3.7184928324e+00   -6.3613582804e+00   -3.6418099474e+01    1.0088432679e+04    2.5943972200e-01    9.9726528183e-01
         9   -3.5676358901e+01    1.2735596512e+03   -4.7899982619e+01    1.2223623717e+01   -8.8049635825e+00    3.6903649608e+00   -6.3672845229e+00   -3.6418099474e+01    1.0110626986e+04    2.6017059900e-01    9.9729871158e-01
