# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.5764113458e+01    6.3600859474e-01    2.0481995569e+03    2.0480000000e+03    0.0000000000e+00   -3.5744661987e+01    9.9801342504e-01    1.0000000000e+00
         1   -3.5742630205e+01    6.9840765500e-01    2.0477792781e+03    2.0480000000e+03    0.0000000000e+00   -3.5773856972e+01    9.9785669897e-01    9.9365234375e-01
         2   -3.5753297598e+01    7.2460153108e-01    2.0483589051e+03    2.0480000000e+03    6.2500000000e-01   -3.5731852186e+01    9.9832901605e-01    9.9755859375e-01
         3   -3.5740116579e+01    7.6310778304e-01    2.0464700672e+03    2.0470000000e+03    2.5000000000e-01   -3.5770820727e+01    9.9854234631e-01    9.9706888129e-01
         4   -3.5736198268e+01    7.2396862424e-01    2.0525031599e+03    2.0510000000e+03    3.1250000000e-01   -3.5665384913e+01    9.9847177229e-01    9.9609946368e-01
         5   -3.5736130273e+01    6.8158058618e-01    2.0485081949e+03    2.0530000000e+03    2.5000000000e-01   -3.5955837739e+01    9.9863530593e-01    9.9561617146e-01
         6   -3.5723573992e+01    7.0991934950e-01    2.0473481564e+03    2.0480000000e+03    3.1250000000e-01   -3.5760941397e+01    9.9817290443e-01    9.9853515625e-01
         7   -3.5735656340e+01    7.3984660646e-01    2.0527386832e+03    2.0520000000e+03    3.1250000000e-01   -3.5691740623e+01    9.9803741953e-01    9.9805068226e-01
         8   -3.5731220478e+01    7.2800296970e-01    2.0472054444e+03    2.0520000000e+03    1.8750000000e-01   -3.5966770081e+01    9.9854577323e-01    9.9463937622e-01
         9   -3.5734190831e+01    7.1936529161e-01    2.0458141590e+03    2.0450000000e+03    3.1250000000e-01   -3.5692416288e+01    9.9868135702e-01    9.9706601467e-01
        10   -3.5733816111e+01    7.0667746953e-01    2.0471668379e+03    2.0450000000e+03    2.5000000000e-01   -3.5627403316e+01    9.9806996024e-01    9.9511002445e-01
        11   -3.5720950673e+01    6.6670305574e-01    2.0447168862e+03    2.0440000000e+03    3.7500000000e-01   -3.5693126089e+01    9.9840988110e-01    9.9804305284e-01
        12   -3.5728667217e+01    6.8245646313e-01    2.0463364400e+03    2.0430000000e+03    2.5000000000e-01   -3.5560513751e+01    9.9873926973e-01    9.9902104748e-01
        13   -3.5742123043e+01    6.6523684103e-01    2.0527796966e+03    2.0510000000e+03    3.7500000000e-01   -3.5647405692e+01    9.9845952311e-01    9.9853729888e-01
        14   -3.5749022397e+01    6.7157744824e-01    2.0512758676e+03    2.0560000000e+03    2.5000000000e-01   -3.5975234747e+01    9.9864343547e-01    9.9513618677e-01
        15   -3.5751689890e+01    6.6262756207e-01    2.0477933422e+03    2.0510000000e+03    3.1250000000e-01   -3.5908849081e+01    9.9830683345e-01    9.9561189664e-01
        16   -3.5760303525e+01    6.5833801307e-01    2.0442728979e+03    2.0440000000e+03    3.7500000000e-01   -3.5741598666e+01    9.9824776255e-01    9.9804305284e-01
        17   -3.5758144366e+01    6.3513950188e-01    2.0507342161e+03    2.0470000000e+03    2.5000000000e-01   -3.5578150321e+01    9.9877015990e-01    9.9951148021e-01
        18   -3.5739102977e+01    6.3258351708e-01    2.0570595710e+03    2.0600000000e+03    3.1250000000e-01   -3.5891561968e+01    9.9806790320e-01    9.9611650485e-01
        19   -3.5750237226e+01    6.4330264366e-01    2.0480849219e+03    2.0570000000e+03    3.1250000000e-01   -3.6180489298e+01    9.9852913024e-01    9.9416626155e-01
        20   -3.5727770427e+01    6.6482058326e-01    2.0466659756e+03    2.0470000000e+03    3.1250000000e-01   -3.5754383717e+01    9.9870625547e-01    9.9511480215e-01
        21   -3.5730276770e+01    7.1293995127e-01    2.0430519312e+03    2.0430000000e+03    3.1250000000e-01   -3.5727118836e+01    9.9837279302e-01    9.9755261870e-01
        22   -3.5746388767e+01    6.8743786112e-01    2.0432538535e+03    2.0430000000e+03    2.5000000000e-01   -3.5726604626e+01    9.9835350622e-01    9.9706314244e-01
        23   -3.5743695786e+01    6.9836616722e-01    2.0472802693e+03    2.0470000000e+03    3.7500000000e-01   -3.5732491844e+01    9.9851295090e-01    9.9755740107e-01
        24   -3.5751470587e+01    6.5606384650e-01    2.0492295434e+03    2.0490000000e+03    1.8750000000e-01   -3.5736681445e+01    9.9854744199e-01    9.9755978526e-01
        25   -3.5734051533e+01    6.6884742845e-01    2.0480381874e+03    2.0480000000e+03    2.5000000000e-01   -3.5740520650e+01    9.9824939602e-01    9.9804687500e-01
        26   -3.5749164206e+01    6.3460952739e-01    2.0510457598e+03    2.0510000000e+03    2.5000000000e-01   -3.5738960958e+01    9.9816462925e-01    9.9756216480e-01
        27   -3.5739165958e+01    6.4970348798e-01    2.0500313179e+03    2.0500000000e+03    2.5000000000e-01   -3.5741888665e+01    9.9830547638e-01    9.9756097561e-01
        28   -3.5739660314e+01    6.7277227610e-01    2.0489472367e+03    2.0490000000e+03    1.8750000000e-01   -3.5741239367e+01    9.9806331674e-01    9.9560761347e-01
        29   -3.5723047761e+01    6.6071420113e-01    2.0478289185e+03    2.0480000000e+03    3.1250000000e-01   -3.5740645116e+01    9.9847133497e-01    9.9755859375e-01
        30   -3.5722934868e+01    6.7215041497e-01    2.0516933491e+03    2.0520000000e+03    3.1250000000e-01   -3.5738385671e+01    9.9843978058e-01    9.9561403509e-01
        31   -3.5724644542e+01    6.8553042588e-01    2.0487041138e+03    2.0490000000e+03    2.5000000000e-01   -3.5738858767e+01    9.9833872865e-01    9.9707174231e-01
        32   -3.5745505992e+01    6.9574575635e-01    2.0540042918e+03    2.0540000000e+03    1.8750000000e-01   -3.5736366373e+01    9.9816157583e-01    9.9853943525e-01
        33   -3.5758977095e+01    7.0732247650e-01    2.0622617044e+03    2.0620000000e+03    3.1250000000e-01   -3.5739679610e+01    9.9784889031e-01    9.9709020369e-01
        34   -3.5751371572e+01    6.7928367409e-01    2.0591938973e+03    2.0590000000e+03    1.8750000000e-01   -3.5745279203e+01    9.9852154374e-01    9.9805730937e-01
        35   -3.5748725174e+01    6.4946995412e-01    2.0631084662e+03    2.0630000000e+03    2.5000000000e-01   -3.5744659299e+01    9.9746789265e-01    9.9709161415e-01
        36   -3.5749787543e+01    6.6208969998e-01    2.0620534158e+03    2.0620000000e+03    2.5000000000e-01   -3.5747153312e+01    9.9863462758e-01    9.9854510184e-01
        37   -3.5755308188e+01    6.6011427657e-01    2.0681081584e+03    2.0680000000e+03    2.5000000000e-01   -3.5747229106e+01    9.9852788369e-01    9.9419729207e-01
        38   -3.5771440209e+01    6.9007303305e-01    2.0652957884e+03    2.0650000000e+03    3.7500000000e-01   -3.5750989831e+01    9.9867131209e-01    9.9757869249e-01
        39   -3.5763729532e+01    6.6544844886e-01    2.0673397712e+03    2.0670000000e+03    3.1250000000e-01   -3.5751219605e+01    9.9824429979e-01    9.9661344944e-01
        40   -3.5762376666e+01    6.9729172820e-01    2.0641708204e+03    2.0640000000e+03    3.7500000000e-01   -3.5753254780e+01    9.9817859800e-01    9.9854651163e-01
        41   -3.5765450015e+01    7.2966645063e-01    2.0692405421e+03    2.0690000000e+03    3.1250000000e-01   -3.5752602684e+01    9.9865467118e-01    9.9613339778e-01
        42   -3.5750601048e+01    7.7183822079e-01    2.0690312315e+03    2.0690000000e+03    3.1250000000e-01   -3.5755997195e+01    9.9795562338e-01    9.9710004833e-01
        43   -3.5754097307e+01    7.5229412897e-01    2.0709362213e+03    2.0710000000e+03    2.5000000000e-01   -3.5756110028e+01    9.9808671700e-01    9.9710284887e-01
        44   -3.5753820346e+01    7.3588064049e-01    2.0699198443e+03    2.0700000000e+03    2.5000000000e-01   -3.5757372156e+01    9.9866398311e-01    9.9758454106e-01
        45   -3.5717517251e+01    6.7328832849e-01    2.0685173891e+03    2.0690000000e+03    3.1250000000e-01   -3.5757184665e+01    9.9811710385e-01    9.9468342194e-01
        46   -3.5722037312e+01    6.5397183277e-01    2.0632857650e+03    2.0640000000e+03    5.0000000000e-01   -3.5755390693e+01    9.9872223531e-01    9.9612403101e-01
        47   -3.5717156334e+01    6.6763981964e-01    2.0623536392e+03    2.0630000000e+03    3.7500000000e-01   -3.5751992213e+01    9.9848367134e-01    9.9466795928e-01
        48   -3.5718028331e+01    6.7795853433e-01    2.0563597031e+03    2.0570000000e+03    4.3750000000e-01   -3.5750561777e+01    9.9816486600e-01    9.9611084103e-01
        49   -3.5731186453e+01    6.8526162361e-01    2.0535559158e+03    2.0540000000e+03    3.7500000000e-01   -3.5746770179e+01    9.9880999048e-01    9.9707887050e-01
        50   -3.5746979517e+01    6.7810320473e-01    2.0548851948e+03    2.0550000000e+03    3.1250000000e-01   -3.5745022106e+01    9.9771477768e-01    9.9659367397e-01
        51   -3.5741250247e+01    6.6719103460e-01    2.0539552897e+03    2.0540000000e+03    2.5000000000e-01   -3.5745819738e+01    9.9851593376e-01    9.9561830574e-01
        52   -3.5753627809e+01    6.6128339209e-01    2.0500578937e+03    2.0500000000e+03    3.7500000000e-01   -3.5745329188e+01    9.9809066502e-01    9.9512195122e-01
        53   -3.5755946703e+01    6.5637681637e-01    2.0462386519e+03    2.0460000000e+03    3.1250000000e-01   -3.5743769340e+01    9.9835412451e-01    9.9560117302e-01
        54   -3.5742477254e+01    6.6845256766e-01    2.0431752938e+03    2.0430000000e+03    3.1250000000e-01   -3.5742292307e+01    9.9849535606e-01    9.9804209496e-01
        55   -3.5753296378e+01    6.8051157001e-01    2.0411189658e+03    2.0410000000e+03    2.5000000000e-01   -3.5740774819e+01    9.9790268279e-01    9.9657030867e-01
        56   -3.5734415176e+01    6.6307759898e-01    2.0400909694e+03    2.0400000000e+03    2.5000000000e-01   -3.5740050179e+01    9.9810311879e-01    9.9607843137e-01
        57   -3.5745039700e+01    6.5846439427e-01    2.0329966867e+03    2.0330000000e+03    3.7500000000e-01   -3.5739303151e+01    9.9855699613e-01    9.9409739302e-01
        58   -3.5749077516e+01    6.2435085707e-01    2.0322762263e+03    2.0320000000e+03    4.3750000000e-01   -3.5735868794e+01    9.9847489989e-01    9.9852362205e-01
        59   -3.5761472078e+01    6.2349745339e-01    2.0343763810e+03    2.0340000000e+03    1.8750000000e-01   -3.5735664500e+01    9.9863322877e-01    9.9852507375e-01
        60   -3.5757327589e+01    6.4784609781e-01    2.0404490322e+03    2.0400000000e+03    5.0000000000e-01   -3.5737149875e+01    9.9818825550e-01    9.9803921569e-01
        61   -3.5743422120e+01    6.3722037464e-01    2.0411884363e+03    2.0410000000e+03    1.8750000000e-01   -3.5740459796e+01    9.9812600497e-01    9.9706026458e-01
        62   -3.5735640842e+01    6.5734999916e-01    2.0439914795e+03    2.0440000000e+03    4.3750000000e-01   -3.5740804688e+01    9.9801517261e-01    9.9853228963e-01
        63   -3.5755833041e+01    6.5451763805e-01    2.0450542646e+03    2.0450000000e+03    2.5000000000e-01   -3.5741979420e+01    9.9842302531e-01    9.9902200489e-01
        64   -3.5748823835e+01    6.7053556743e-01    2.0461560210e+03    2.0460000000e+03    1.8750000000e-01   -3.5742769568e+01    9.9859189149e-01    9.9804496579e-01
        65   -3.5748047296e+01    7.3548364239e-01    2.0480950143e+03    2.0480000000e+03    2.5000000000e-01   -3.5743410718e+01    9.9824099586e-01    9.9609375000e-01
        66   -3.5751818836e+01    6.9666732243e-01    2.0501144879e+03    2.0500000000e+03    4.3750000000e-01   -3.5744439110e+01    9.9837155687e-01    9.9756097561e-01
        67   -3.5749839474e+01    7.2114717336e-01    2.0500999309e+03    2.0500000000e+03    3.1250000000e-01   -3.5745582652e+01    9.9878693392e-01    9.9658536585e-01
        68   -3.5755945458e+01    7.4374824769e-01    2.0511574985e+03    2.0510000000e+03    3.1250000000e-01   -3.5745685734e+01    9.9853591231e-01    9.9658703072e-01
        69   -3.5755124601e+01    7.0858711240e-01    2.0552154829e+03    2.0550000000e+03    4.3750000000e-01   -3.5746431759e+01    9.9829491264e-01    9.9951338200e-01
        70   -3.5758330437e+01    6.8450009677e-01    2.0591193381e+03    2.0590000000e+03    2.5000000000e-01   -3.5748612860e+01    9.9812191566e-01    9.9562894609e-01
        71   -3.5755574128e+01    6.8382469771e-01    2.0591672390e+03    2.0590000000e+03    3.7500000000e-01   -3.5750770047e+01    9.9802901165e-01    9.9514327343e-01
        72   -3.5749442106e+01    6.9459360607e-01    2.0580600338e+03    2.0580000000e+03    4.3750000000e-01   -3.5750989824e+01    9.9821859684e-01    9.9805636540e-01
        73   -3.5752271764e+01    7.1334653639e-01    2.0589792973e+03    2.0590000000e+03    1.8750000000e-01   -3.5750525384e+01    9.9841575892e-01    9.9465760078e-01
        74   -3.5765853541e+01    6.7931528986e-01    2.0561857163e+03    2.0560000000e+03    2.5000000000e-01   -3.5751095033e+01    9.9804612889e-01    9.9513618677e-01
        75   -3.5771439759e+01    6.9520170484e-01    2.0523998758e+03    2.0520000000e+03    3.1250000000e-01   -3.5750102880e+01    9.9841929422e-01    9.9707602339e-01
        76   -3.5779371016e+01    7.3602547115e-01    2.0545560217e+03    2.0540000000e+03    1.2500000000e-01   -3.5748712235e+01    9.9848046032e-01    9.9610516066e-01
        77   -3.5763185139e+01    7.4268659253e-01    2.0564578411e+03    2.0560000000e+03    3.1250000000e-01   -3.5750337756e+01    9.9828088950e-01    9.9708171206e-01
        78   -3.5768571382e+01    7.2615638768e-01    2.0583083728e+03    2.0580000000e+03    3.7500000000e-01   -3.5751539598e+01    9.9804375838e-01    9.9659863946e-01
        79   -3.5763765675e+01    7.2041714064e-01    2.0623133708e+03    2.0620000000e+03    3.1250000000e-01   -3.5752797584e+01    9.9819537635e-01    9.9660523763e-01
        80   -3.5767190455e+01    7.1854086420e-01    2.0622400554e+03    2.0620000000e+03    3.7500000000e-01   -3.5755007946e+01    9.9797025077e-01    9.9563530553e-01
        81   -3.5785036262e+01    7.0802332604e-01    2.0584145191e+03    2.0580000000e+03    4.3750000000e-01   -3.5755286283e+01    9.9775092806e-01    9.9805636540e-01
        82   -3.5771643194e+01    6.6184524244e-01    2.0594685596e+03    2.0590000000e+03    1.8750000000e-01   -3.5754021119e+01    9.9842836930e-01    9.9611461875e-01
        83   -3.5779348404e+01    6.9096939850e-01    2.0594670851e+03    2.0590000000e+03    3.1250000000e-01   -3.5754893281e+01    9.9846803751e-01    9.9708596406e-01
