#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5737550515e+01    1.2780106255e+03   -4.7573219327e+01    1.1835668812e+01   -8.4891265363e+00    3.6840944246e+00   -6.3500877409e+00   -3.6418099474e+01    1.0240980255e+04    1.0175354020e+00    9.9711047210e-01
         1   -3.5774954908e+01    1.2806621506e+03   -4.7600387777e+01    1.1825432868e+01   -8.4649399006e+00    3.6682023607e+00   -6.3855507626e+00   -3.6418099474e+01    1.0254652302e+04    1.0285337050e+00    9.9716901075e-01
         2   -3.5825087241e+01    1.2842273591e+03   -4.7681141433e+01    1.1856054191e+01   -8.4708347926e+00    3.6204097547e+00   -6.4126169207e+00   -3.6418099474e+01    1.0231023396e+04    1.0158265840e+00    9.9710151001e-01
         3   -3.5871870132e+01    1.2876159018e+03   -4.7676152195e+01    1.1804282063e+01   -8.4441340405e+00    3.6144278388e+00   -6.4283465189e+00   -3.6418099474e+01    1.0248560996e+04    1.0193854020e+00    9.9725489103e-01
         4   -3.5874366177e+01    1.2877588902e+03   -4.7574675103e+01    1.1700308926e+01   -8.4186390933e+00    3.7351032707e+00   -6.4730398063e+00   -3.6418099474e+01    1.0298389917e+04    1.0333371210e+00    9.9732714868e-01
         5   -3.5904523575e+01    1.2899129488e+03   -4.7656154747e+01    1.1751631172e+01   -8.3796608801e+00    3.6486773677e+00   -6.5070717603e+00   -3.6418099474e+01    1.0353973451e+04    1.0286360150e+00    9.9727795871e-01
         6   -3.5913409836e+01    1.2905918252e+03   -4.7625238411e+01    1.1711828576e+01   -8.3668472392e+00    3.6959964100e+00   -6.5362881079e+00   -3.6418099474e+01    1.0351105209e+04    1.0272538150e+00    9.9718054194e-01
         7   -3.5931239625e+01    1.2918672594e+03   -4.7631739382e+01    1.1700499757e+01   -8.3662364627e+00    3.7295208887e+00   -6.5769243336e+00   -3.6418099474e+01    1.0375222057e+04    1.0279822310e+00    9.9725221751e-01
         8   -3.5966426234e+01    1.2943971672e+03   -4.7753240801e+01    1.1786814567e+01   -8.3212058712e+00    3.5396074046e+00   -6.5535428605e+00   -3.6418099474e+01    1.0355625313e+04    1.0346143970e+00    9.9732496652e-01
         9   -3.5971919654e+01    1.2947412196e+03   -4.7736864614e+01    1.1764944960e+01   -8.3593356071e+00    3.5811974621e+00   -6.5406269944e+00   -3.6418099474e+01    1.0347655776e+04    1.0307445500e+00    9.9739223542e-01
        10   -3.5972039061e+01    1.2947245031e+03   -4.7681603544e+01    1.1709564482e+01   -8.4709787907e+00    3.7466791720e+00   -6.5392044510e+00   -3.6418099474e+01    1.0386156977e+04    1.0568399180e+00    9.9708918249e-01
