#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5588613250e+01    1.2674538593e+03   -4.7530813729e+01    1.1942200478e+01   -8.5913866641e+00    3.7474502822e+00   -6.2687778727e+00   -3.6418099474e+01    2.0480000000e+04    5.4224367800e-01    7.0069115048e-01
         1   -3.5607440741e+01    1.2687777970e+03   -4.7542467932e+01    1.1935027192e+01   -8.5078720299e+00    3.6934672897e+00   -6.3099637179e+00   -3.6418099474e+01    2.0480000000e+04    5.2049709300e-01    7.0076788039e-01
         2   -3.5606257911e+01    1.2686585753e+03   -4.7540189795e+01    1.1933931885e+01   -8.5968241035e+00    3.7536906983e+00   -6.2789569160e+00   -3.6418099474e+01    2.0480000000e+04    5.6067449200e-01    7.0104515439e-01
         3   -3.5617385988e+01    1.2694807742e+03   -4.7572738244e+01    1.1955352256e+01   -8.6256683442e+00    3.7499395202e+00   -6.2789099463e+00   -3.6418099474e+01    2.0480000000e+04    5.5994808300e-01    7.0049176897e-01
         4   -3.5622704887e+01    1.2698645950e+03   -4.7522929858e+01    1.1900224971e+01   -8.6229034757e+00    3.8125065265e+00   -6.2944334345e+00   -3.6418099474e+01    2.0480000000e+04    5.5481346500e-01    7.0016334170e-01
         5   -3.5632263105e+01    1.2705253328e+03   -4.7643600693e+01    1.2011337587e+01   -8.6452972889e+00    3.7232118034e+00   -6.3034157331e+00   -3.6418099474e+01    2.0480000000e+04    5.7993674500e-01    7.0019008092e-01
         6   -3.5618416559e+01    1.2695546352e+03   -4.7503878126e+01    1.1885461567e+01   -8.5774993622e+00    3.7861253995e+00   -6.2944046895e+00   -3.6418099474e+01    2.0480000000e+04    5.6765924700e-01    7.0114339193e-01
         7   -3.5614577640e+01    1.2692948672e+03   -4.7506995328e+01    1.1892417688e+01   -8.5894431987e+00    3.7842437667e+00   -6.2836964222e+00   -3.6418099474e+01    2.0480000000e+04    5.2495750000e-01    7.0034470331e-01
         8   -3.5605973873e+01    1.2686645578e+03   -4.7562000755e+01    1.1956026881e+01   -8.5419562049e+00    3.7085825393e+00   -6.3105276148e+00   -3.6418099474e+01    2.0480000000e+04    5.5200782900e-01    7.0025402251e-01
         9   -3.5612479948e+01    1.2691233383e+03   -4.7533430354e+01    1.1920950406e+01   -8.6197191447e+00    3.7897097472e+00   -6.2853214825e+00   -3.6418099474e+01    2.0480000000e+04    5.2168070500e-01    7.0125616164e-01
        10   -3.5602370410e+01    1.2684012229e+03   -4.7573809924e+01    1.1971439513e+01   -8.5778503395e+00    3.7253974072e+00   -6.3032575172e+00   -3.6418099474e+01    2.0480000000e+04    5.2136943900e-01    7.0065104167e-01
        11   -3.5616880803e+01    1.2694290687e+03   -4.7582945654e+01    1.1966064851e+01   -8.6176360608e+00    3.7629888417e+00   -6.3101989606e+00   -3.6418099474e+01    2.0480000000e+04    5.3949219700e-01    7.0060395740e-01
        12   -3.5606964512e+01    1.2687345052e+03   -4.7552901259e+01    1.1945936747e+01   -8.6086808101e+00    3.7777875869e+00   -6.3039085616e+00   -3.6418099474e+01    2.0480000000e+04    5.1963080000e-01    7.0009300595e-01
        13   -3.5620657226e+01    1.2696868837e+03   -4.7498842670e+01    1.1878185444e+01   -8.5650211760e+00    3.7848252095e+00   -6.3005472291e+00   -3.6418099474e+01    2.0480000000e+04    5.2212102800e-01    7.0065917969e-01
        14   -3.5640647938e+01    1.2711029953e+03   -4.7595170872e+01    1.1954522934e+01   -8.5359491286e+00    3.6831994667e+00   -6.3243217356e+00   -3.6418099474e+01    2.0480000000e+04    5.3288037500e-01    7.0054815383e-01
        15   -3.5622825481e+01    1.2698651568e+03   -4.7593560259e+01    1.1970734778e+01   -8.6755811795e+00    3.8126576231e+00   -6.3125372282e+00   -3.6418099474e+01    2.0480000000e+04    5.4694728800e-01    7.0062779018e-01
        16   -3.5640816121e+01    1.2711211763e+03   -4.7562344296e+01    1.1921528175e+01   -8.5891203329e+00    3.7526268539e+00   -6.3077513433e+00   -3.6418099474e+01    2.0480000000e+04    5.4795607300e-01    7.0071672712e-01
        17   -3.5634528063e+01    1.2706664778e+03   -4.7508441832e+01    1.1873913769e+01   -8.5965508745e+00    3.8277644554e+00   -6.3215559384e+00   -3.6418099474e+01    2.0480000000e+04    5.2709590400e-01    6.9995872861e-01
        18   -3.5610004886e+01    1.2689272610e+03   -4.7611884985e+01    1.2001880100e+01   -8.6492153494e+00    3.7317546034e+00   -6.2763247652e+00   -3.6418099474e+01    2.0480000000e+04    5.6852157700e-01    7.0017147972e-01
        19   -3.5612202020e+01    1.2690799209e+03   -4.7538519549e+01    1.1926317529e+01   -8.5952601958e+00    3.7858462176e+00   -6.3110060965e+00   -3.6418099474e+01    2.0480000000e+04    5.2596909100e-01    7.0112769717e-01
        20   -3.5602740245e+01    1.2684401469e+03   -4.7540264619e+01    1.1937524374e+01   -8.5395443967e+00    3.7190238812e+00   -6.3016446293e+00   -3.6418099474e+01    2.0480000000e+04    5.5479878700e-01    7.0018426804e-01
        21   -3.5610478429e+01    1.2689545557e+03   -4.7530772611e+01    1.1920294182e+01   -8.5841292891e+00    3.7819659461e+00   -6.3105097936e+00   -3.6418099474e+01    2.0480000000e+04    5.4010310200e-01    7.0091378348e-01
        22   -3.5605726719e+01    1.2686462864e+03   -4.7533744453e+01    1.1928017734e+01   -8.5977771675e+00    3.7758372644e+00   -6.2937050757e+00   -3.6418099474e+01    2.0480000000e+04    5.2029619400e-01    7.0035865420e-01
        23   -3.5627833197e+01    1.2701914099e+03   -4.7552434542e+01    1.1924601344e+01   -8.6424385710e+00    3.8134573872e+00   -6.3053538838e+00   -3.6418099474e+01    2.0480000000e+04    5.6883583900e-01    7.0064929781e-01
        24   -3.5610923808e+01    1.2689991624e+03   -4.7517983811e+01    1.1907060003e+01   -8.6095743721e+00    3.8109659362e+00   -6.3012759008e+00   -3.6418099474e+01    2.0480000000e+04    5.4140027700e-01    7.0040283203e-01
        25   -3.5615030196e+01    1.2693208349e+03   -4.7532039792e+01    1.1917009596e+01   -8.5468172193e+00    3.7443776831e+00   -6.3115007817e+00   -3.6418099474e+01    2.0480000000e+04    5.4527926100e-01    7.0107189360e-01
        26   -3.5621869984e+01    1.2697671165e+03   -4.7579579263e+01    1.1957709279e+01   -8.5834169808e+00    3.7302168532e+00   -6.3082796618e+00   -3.6418099474e+01    2.0480000000e+04    5.3351280100e-01    7.0084286644e-01
        27   -3.5615294824e+01    1.2693117286e+03   -4.7565959338e+01    1.1950664515e+01   -8.6717975442e+00    3.8390089517e+00   -6.3150712718e+00   -3.6418099474e+01    2.0480000000e+04    5.3734149700e-01    7.0029064360e-01
        28   -3.5596581337e+01    1.2679773402e+03   -4.7560437186e+01    1.1963855848e+01   -8.5896446322e+00    3.7419973942e+00   -6.2946904734e+00   -3.6418099474e+01    2.0480000000e+04    5.4369970100e-01    6.9977678571e-01
        29   -3.5631148571e+01    1.2704239344e+03   -4.7570803772e+01    1.1939655201e+01   -8.6811200954e+00    3.8147506577e+00   -6.2863348597e+00   -3.6418099474e+01    2.0480000000e+04    5.2246032300e-01    7.0058419364e-01
        30   -3.5635250154e+01    1.2707156190e+03   -4.7511979248e+01    1.1876729094e+01   -8.4946754980e+00    3.7223637321e+00   -6.3215680082e+00   -3.6418099474e+01    2.0480000000e+04    5.2151289900e-01    7.0103876023e-01
        31   -3.5628157983e+01    1.2702000798e+03   -4.7553053453e+01    1.1924895470e+01   -8.5630001120e+00    3.7386335452e+00   -6.3105874116e+00   -3.6418099474e+01    2.0480000000e+04    5.2097720200e-01    7.0063418434e-01
        32   -3.5609087326e+01    1.2688801959e+03   -4.7538139067e+01    1.1929051741e+01   -8.6252841742e+00    3.7889578702e+00   -6.2837132888e+00   -3.6418099474e+01    2.0480000000e+04    5.2384292600e-01    7.0004824684e-01
        33   -3.5617616843e+01    1.2694687453e+03   -4.7601844105e+01    1.1984227263e+01   -8.5910496868e+00    3.7143245198e+00   -6.3070194643e+00   -3.6418099474e+01    2.0480000000e+04    5.6792599700e-01    7.0052780878e-01
        34   -3.5616538030e+01    1.2693888946e+03   -4.7574238215e+01    1.1957700185e+01   -8.6058266979e+00    3.7574554105e+00   -6.3077674534e+00   -3.6418099474e+01    2.0480000000e+04    5.2415468000e-01    7.0055629185e-01
        35   -3.5606190018e+01    1.2686882382e+03   -4.7588767565e+01    1.1982577547e+01   -8.6228662711e+00    3.7414543087e+00   -6.2892561284e+00   -3.6418099474e+01    2.0480000000e+04    5.4155402000e-01    7.0037202381e-01
