# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.5565712366e+01    8.2155376188e-01    2.0483889935e+03    2.0480000000e+03    0.0000000000e+00   -3.5546611173e+01    9.9537761733e-01    1.0000000000e+00
         1   -3.5569541410e+01    8.0953414197e-01    2.0480808701e+03    2.0480000000e+03    0.0000000000e+00   -3.5575208376e+01    9.9565155744e-01    9.8339843750e-01
         2   -3.5567895677e+01    8.2496260797e-01    2.0339339632e+03    2.0340000000e+03    4.3750000000e-01   -3.5571515738e+01    9.9523346245e-01    9.9311701082e-01
         3   -3.5606182624e+01    8.5485974933e-01    2.0487541844e+03    2.0340000000e+03    5.0000000000e-01   -3.5223301849e+01    9.9574889964e-01    9.9655850541e-01
         4   -3.5618781535e+01    7.8246710939e-01    2.0484236511e+03    2.0490000000e+03    4.3750000000e-01   -3.5624591939e+01    9.9506458423e-01    9.9170326989e-01
         5   -3.5648586098e+01    8.2453318005e-01    2.0482173318e+03    2.0480000000e+03    3.7500000000e-01   -3.5629123511e+01    9.9599557914e-01    9.9365234375e-01
         6   -3.5639048437e+01    8.2040213724e-01    2.0476283705e+03    2.0480000000e+03    3.7500000000e-01   -3.5653891769e+01    9.9568342439e-01    9.9267578125e-01
         7   -3.5645436341e+01    8.3563245057e-01    2.0494384008e+03    2.0490000000e+03    5.0000000000e-01   -3.5629974628e+01    9.9466706296e-01    9.9316739873e-01
         8   -3.5633298209e+01    8.1739241597e-01    2.0402875772e+03    2.0420000000e+03    3.1250000000e-01   -3.5680541222e+01    9.9553119437e-01    9.9167482860e-01
         9   -3.5655542842e+01    8.2253312939e-01    2.0421029061e+03    2.0340000000e+03    3.1250000000e-01   -3.5444651207e+01    9.9532841541e-01    9.9360865290e-01
        10   -3.5670895616e+01    7.9312864006e-01    2.0573393212e+03    2.0510000000e+03    6.2500000000e-01   -3.5511363146e+01    9.9566888742e-01    9.9658703072e-01
        11   -3.5683191384e+01    8.2782216045e-01    2.0539099514e+03    2.0630000000e+03    3.1250000000e-01   -3.5898388074e+01    9.9491044205e-01    9.9321376636e-01
        12   -3.5685335433e+01    7.9293189061e-01    2.0562144164e+03    2.0620000000e+03    6.2500000000e-01   -3.5827269521e+01    9.9537454594e-01    9.8981571290e-01
        13   -3.5678647763e+01    8.2463587078e-01    2.0417586271e+03    2.0500000000e+03    3.7500000000e-01   -3.5885481590e+01    9.9505268737e-01    9.8926829268e-01
        14   -3.5674423618e+01    7.8399964542e-01    2.0401225032e+03    2.0340000000e+03    4.3750000000e-01   -3.5526037833e+01    9.9484476605e-01    9.9705014749e-01
        15   -3.5663722993e+01    7.5639459850e-01    2.0484988205e+03    2.0410000000e+03    3.1250000000e-01   -3.5481731090e+01    9.9661003985e-01    9.9559039686e-01
        16   -3.5676022222e+01    7.9737497496e-01    2.0477287032e+03    2.0480000000e+03    4.3750000000e-01   -3.5675899744e+01    9.9592594131e-01    9.9658203125e-01
        17   -3.5685744981e+01    8.1448128783e-01    2.0594349101e+03    2.0590000000e+03    3.7500000000e-01   -3.5669398325e+01    9.9580227186e-01    9.9611461875e-01
        18   -3.5683790776e+01    7.6832241874e-01    2.0494654048e+03    2.0610000000e+03    3.1250000000e-01   -3.5964141107e+01    9.9577953623e-01    9.9223677826e-01
        19   -3.5702579780e+01    8.3129697663e-01    2.0498973207e+03    2.0510000000e+03    4.3750000000e-01   -3.5719554468e+01    9.9572474845e-01    9.9366162847e-01
        20   -3.5716203552e+01    7.8938840026e-01    2.0473469371e+03    2.0490000000e+03    3.7500000000e-01   -3.5748879643e+01    9.9559073579e-01    9.9170326989e-01
        21   -3.5698336965e+01    7.5029993840e-01    2.0437714509e+03    2.0440000000e+03    5.6250000000e-01   -3.5715884623e+01    9.9534417663e-01    9.9510763209e-01
        22   -3.5692670630e+01    7.4694141304e-01    2.0435019501e+03    2.0440000000e+03    3.1250000000e-01   -3.5705203403e+01    9.9644774437e-01    9.9217221135e-01
        23   -3.5700299288e+01    8.0400869566e-01    2.0408768265e+03    2.0410000000e+03    4.3750000000e-01   -3.5700204987e+01    9.9563813305e-01    9.9069083782e-01
        24   -3.5693316346e+01    8.1125739886e-01    2.0330224983e+03    2.0330000000e+03    5.0000000000e-01   -3.5698393434e+01    9.9543448545e-01    9.9458927693e-01
        25   -3.5705864173e+01    7.8155221921e-01    2.0281856808e+03    2.0280000000e+03    3.7500000000e-01   -3.5692825250e+01    9.9569158455e-01    9.9506903353e-01
        26   -3.5718106483e+01    7.8000052576e-01    2.0277286292e+03    2.0270000000e+03    3.1250000000e-01   -3.5691393092e+01    9.9527590868e-01    9.9111988160e-01
        27   -3.5748917481e+01    8.2036333452e-01    2.0247005465e+03    2.0230000000e+03    6.2500000000e-01   -3.5693595049e+01    9.9570483791e-01    9.9060800791e-01
        28   -3.5749270145e+01    8.1931639713e-01    2.0242826890e+03    2.0220000000e+03    5.0000000000e-01   -3.5697772469e+01    9.9576627633e-01    9.9703264095e-01
        29   -3.5730684897e+01    7.6357122571e-01    2.0354590955e+03    2.0340000000e+03    3.1250000000e-01   -3.5702016710e+01    9.9520896528e-01    9.9213372665e-01
        30   -3.5739771354e+01    7.2444558951e-01    2.0421837689e+03    2.0410000000e+03    5.6250000000e-01   -3.5709224682e+01    9.9516607323e-01    9.9559039686e-01
        31   -3.5748918368e+01    7.5534532389e-01    2.0501481328e+03    2.0490000000e+03    5.6250000000e-01   -3.5714741577e+01    9.9554961309e-01    9.9365544168e-01
        32   -3.5757623720e+01    8.1640556013e-01    2.0513178222e+03    2.0500000000e+03    3.7500000000e-01   -3.5721244983e+01    9.9536025395e-01    9.9170731707e-01
        33   -3.5771381767e+01    8.0011432446e-01    2.0497228365e+03    2.0480000000e+03    5.0000000000e-01   -3.5724694366e+01    9.9517497517e-01    9.9609375000e-01
        34   -3.5775136930e+01    7.8980879094e-01    2.0537765702e+03    2.0520000000e+03    3.1250000000e-01   -3.5727366959e+01    9.9538493899e-01    9.9561403509e-01
        35   -3.5771763706e+01    7.3210079646e-01    2.0616929051e+03    2.0600000000e+03    4.3750000000e-01   -3.5732583427e+01    9.9569176352e-01    9.9223300971e-01
