# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.5415027760e+01    8.8553896619e-01    2.0483065115e+03    2.0480000000e+03    0.0000000000e+00   -3.5400176095e+01    9.9547017568e-01    1.0000000000e+00
         1   -3.5445993907e+01    8.6735550129e-01    2.0486344308e+03    2.0480000000e+03    0.0000000000e+00   -3.5422510392e+01    9.9515083967e-01    9.8730468750e-01
         2   -3.5447476240e+01    8.3391574979e-01    2.0493656561e+03    2.0500000000e+03    1.0000000000e+00   -3.5461480540e+01    9.9518143805e-01    9.8878048780e-01
         3   -3.5440012714e+01    8.0214182278e-01    2.0335434218e+03    2.0350000000e+03    5.0000000000e-01   -3.5480806342e+01    9.9528470859e-01    9.9557739558e-01
         4   -3.5431849231e+01    8.2549693227e-01    2.0531589366e+03    2.0390000000e+03    7.5000000000e-01   -3.5085817325e+01    9.9489940171e-01    9.9607650809e-01
         5   -3.5452202359e+01    8.2479274301e-01    2.0492859549e+03    2.0540000000e+03    2.5000000000e-01   -3.5557641461e+01    9.9501891534e-01    9.9415774099e-01
         6   -3.5465978277e+01    8.3823335834e-01    2.0478689704e+03    2.0490000000e+03    1.0000000000e+00   -3.5483587891e+01    9.9485217286e-01    9.9267935578e-01
         7   -3.5488712538e+01    8.4849573921e-01    2.0507250536e+03    2.0500000000e+03    7.5000000000e-01   -3.5462779209e+01    9.9527488044e-01    9.9365853659e-01
         8   -3.5492384907e+01    8.3970183262e-01    2.0493551983e+03    2.0520000000e+03    5.0000000000e-01   -3.5555197943e+01    9.9504428567e-01    9.9220272904e-01
         9   -3.5497699683e+01    8.2318800201e-01    2.0457646126e+03    2.0470000000e+03    7.5000000000e-01   -3.5525459862e+01    9.9598387391e-01    9.9413776258e-01
        10   -3.5509764120e+01    8.1214817382e-01    2.0494372745e+03    2.0470000000e+03    5.0000000000e-01   -3.5443094988e+01    9.9550916551e-01    9.9511480215e-01
        11   -3.5501693891e+01    8.2800449447e-01    2.0473387660e+03    2.0490000000e+03    1.0000000000e+00   -3.5544841522e+01    9.9551387210e-01    9.9560761347e-01
        12   -3.5501855829e+01    8.0072648047e-01    2.0505030141e+03    2.0500000000e+03    1.0000000000e+00   -3.5485547875e+01    9.9513889282e-01    9.9414634146e-01
        13   -3.5507688552e+01    8.1018372205e-01    2.0445978645e+03    2.0470000000e+03    2.5000000000e-01   -3.5562927260e+01    9.9544616521e-01    9.9267220322e-01
        14   -3.5496178746e+01    8.1895600136e-01    2.0471262116e+03    2.0440000000e+03    2.5000000000e-01   -3.5424559536e+01    9.9532634365e-01    9.9461839530e-01
        15   -3.5509074989e+01    7.9758453063e-01    2.0531917998e+03    2.0520000000e+03    7.5000000000e-01   -3.5474841470e+01    9.9520637165e-01    9.9415204678e-01
        16   -3.5520872405e+01    7.7523211381e-01    2.0500790582e+03    2.0550000000e+03    5.0000000000e-01   -3.5635667522e+01    9.9462474138e-01    9.9124087591e-01
        17   -3.5560654256e+01    7.8261280626e-01    2.0448699379e+03    2.0460000000e+03    7.5000000000e-01   -3.5571604914e+01    9.9512941869e-01    9.9560117302e-01
        18   -3.5558499012e+01    7.8061274058e-01    2.0550908318e+03    2.0520000000e+03    5.0000000000e-01   -3.5484178269e+01    9.9501998929e-01    9.9317738791e-01
        19   -3.5556894997e+01    7.8148136419e-01    2.0519910026e+03    2.0590000000e+03    7.5000000000e-01   -3.5731316022e+01    9.9500463090e-01    9.9174356484e-01
        20   -3.5564974189e+01    8.2280672857e-01    2.0501717742e+03    2.0540000000e+03    7.5000000000e-01   -3.5654236770e+01    9.9586680516e-01    9.9221032132e-01
        21   -3.5565794808e+01    8.0805384862e-01    2.0539918789e+03    2.0540000000e+03    1.0000000000e+00   -3.5566034064e+01    9.9531048598e-01    9.9367088608e-01
        22   -3.5580039433e+01    7.8633096797e-01    2.0542648869e+03    2.0540000000e+03    5.0000000000e-01   -3.5568305949e+01    9.9488857933e-01    9.9415774099e-01
        23   -3.5562920173e+01    7.5900854946e-01    2.0559759032e+03    2.0560000000e+03    2.5000000000e-01   -3.5573323834e+01    9.9506004173e-01    9.9659533074e-01
        24   -3.5575957594e+01    8.3841357958e-01    2.0577402508e+03    2.0580000000e+03    7.5000000000e-01   -3.5572319071e+01    9.9603724385e-01    9.9271137026e-01
        25   -3.5581729163e+01    8.0233337534e-01    2.0582744177e+03    2.0580000000e+03    1.2500000000e+00   -3.5574681947e+01    9.9527528477e-01    9.9562682216e-01
        26   -3.5596542849e+01    8.1431888593e-01    2.0745195092e+03    2.0740000000e+03    5.0000000000e-01   -3.5576906823e+01    9.9533043531e-01    9.9228543877e-01
        27   -3.5585726198e+01    8.2707319506e-01    2.0731261983e+03    2.0730000000e+03    5.0000000000e-01   -3.5588288459e+01    9.9525607196e-01    9.9228171732e-01
        28   -3.5587477111e+01    8.3783651900e-01    2.0780284924e+03    2.0780000000e+03    7.5000000000e-01   -3.5588904553e+01    9.9546399774e-01    9.9518768046e-01
        29   -3.5601657685e+01    8.5401606552e-01    2.0810082188e+03    2.0810000000e+03    2.5000000000e-01   -3.5592462732e+01    9.9443916289e-01    9.9183085055e-01
        30   -3.5608648703e+01    7.9483866049e-01    2.0703633248e+03    2.0700000000e+03    2.5000000000e-01   -3.5596270710e+01    9.9509032383e-01    9.9565217391e-01
        31   -3.5626379632e+01    7.7194132322e-01    2.0729058935e+03    2.0720000000e+03    7.5000000000e-01   -3.5593721123e+01    9.9543866787e-01    9.9613899614e-01
        32   -3.5631787900e+01    8.2927634382e-01    2.0751916972e+03    2.0740000000e+03    5.0000000000e-01   -3.5598575024e+01    9.9465724684e-01    9.9855351977e-01
        33   -3.5618157191e+01    8.1016063694e-01    2.0908274321e+03    2.0900000000e+03    2.5000000000e-01   -3.5603161783e+01    9.9561697266e-01    9.9425837321e-01
        34   -3.5614508081e+01    7.7035618331e-01    2.0891175353e+03    2.0890000000e+03    2.5000000000e-01   -3.5612681369e+01    9.9571568189e-01    9.9234083293e-01
        35   -3.5626665967e+01    7.5658404283e-01    2.0843716009e+03    2.0840000000e+03    7.5000000000e-01   -3.5613364752e+01    9.9511799929e-01    9.9232245681e-01
        36   -3.5639934250e+01    7.3558797286e-01    2.0778442265e+03    2.0770000000e+03    7.5000000000e-01   -3.5613164130e+01    9.9518651048e-01    9.9614829080e-01
        37   -3.5653519848e+01    7.4312941125e-01    2.0844419427e+03    2.0830000000e+03    7.5000000000e-01   -3.5612637862e+01    9.9490790123e-01    9.9615938550e-01
        38   -3.5633208303e+01    8.1595298145e-01    2.0899724014e+03    2.0890000000e+03    7.5000000000e-01   -3.5618883058e+01    9.9547125942e-01    9.9425562470e-01
        39   -3.5630876730e+01    7.4387253253e-01    2.0903639230e+03    2.0900000000e+03    1.0000000000e+00   -3.5623215000e+01    9.9531518746e-01    9.9138755981e-01
        40   -3.5647952868e+01    7.6169956828e-01    2.0866853487e+03    2.0860000000e+03    7.5000000000e-01   -3.5624799760e+01    9.9536075187e-01    9.9041227229e-01
        41   -3.5659918859e+01    7.5294088438e-01    2.0773240747e+03    2.0760000000e+03    5.0000000000e-01   -3.5625115936e+01    9.9575005426e-01    9.9229287091e-01
        42   -3.5638226462e+01    7.6178814646e-01    2.0730806409e+03    2.0720000000e+03    5.0000000000e-01   -3.5623052198e+01    9.9577530733e-01    9.9517374517e-01
        43   -3.5629928765e+01    7.3504176968e-01    2.0774548752e+03    2.0770000000e+03    5.0000000000e-01   -3.5622285243e+01    9.9501968831e-01    9.9374097256e-01
        44   -3.5616259283e+01    7.6994116886e-01    2.0748919835e+03    2.0750000000e+03    2.5000000000e-01   -3.5625218685e+01    9.9478508825e-01    9.9518072289e-01
        45   -3.5626971099e+01    7.4721056488e-01    2.0869861956e+03    2.0870000000e+03    1.0000000000e+00   -3.5624197071e+01    9.9612295309e-01    9.9137517968e-01
        46   -3.5644173840e+01    7.6242637240e-01    2.0813327362e+03    2.0810000000e+03    7.5000000000e-01   -3.5630617427e+01    9.9528946874e-01    9.9471407977e-01
        47   -3.5662464424e+01    7.3769815599e-01    2.0889893962e+03    2.0880000000e+03    2.5000000000e-01   -3.5629105349e+01    9.9504225816e-01    9.9568965517e-01
        48   -3.5657754571e+01    7.6667669660e-01    2.1051310705e+03    2.1040000000e+03    5.0000000000e-01   -3.5634545321e+01    9.9576906078e-01    9.9144486692e-01
        49   -3.5669673987e+01    7.4016296434e-01    2.1029596978e+03    2.1020000000e+03    5.0000000000e-01   -3.5643726299e+01    9.9508325413e-01    9.9429115128e-01
        50   -3.5667497334e+01    7.0846767098e-01    2.1019288486e+03    2.1010000000e+03    1.0000000000e+00   -3.5644476357e+01    9.9568134656e-01    9.9333650643e-01
        51   -3.5667707547e+01    6.8911869689e-01    2.1029509085e+03    2.1020000000e+03    2.5000000000e-01   -3.5645582919e+01    9.9480189481e-01    9.9476688868e-01
        52   -3.5677797304e+01    6.9668011720e-01    2.1060194608e+03    2.1050000000e+03    7.5000000000e-01   -3.5647572685e+01    9.9585523982e-01    9.9572446556e-01
        53   -3.5686917136e+01    7.0813107213e-01    2.1102925772e+03    2.1090000000e+03    7.5000000000e-01   -3.5650749043e+01    9.9615600379e-01    9.9336178284e-01
