# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.6067646517e+01    7.1475336425e-01    2.0481532780e+03    2.0480000000e+03    0.0000000000e+00   -3.6052773867e+01    9.9804878326e-01    1.0000000000e+00
         1   -3.6065230416e+01    6.9107973877e-01    2.0479762123e+03    2.0480000000e+03    0.0000000000e+00   -3.6075130513e+01    9.9793489294e-01    9.9169921875e-01
         2   -3.6058431236e+01    6.6490230998e-01    2.0429642029e+03    2.0430000000e+03    3.7500000000e-01   -3.6064068900e+01    9.9827438330e-01    9.9902104748e-01
         3   -3.6074135327e+01    7.0279684451e-01    2.0562290023e+03    2.0510000000e+03    3.7500000000e-01   -3.5812239902e+01    9.9868334676e-01    9.9804973184e-01
         4   -3.6061494732e+01    7.0834956031e-01    2.0546411444e+03    2.0630000000e+03    3.7500000000e-01   -3.6475136990e+01    9.9820694588e-01    9.9612215221e-01
         5   -3.6069072233e+01    7.5628254917e-01    2.0504068172e+03    2.0570000000e+03    2.5000000000e-01   -3.6385244724e+01    9.9815739853e-01    9.9562469616e-01
         6   -3.6087146792e+01    7.5667012070e-01    2.0507928520e+03    2.0530000000e+03    3.7500000000e-01   -3.6186523602e+01    9.9865625775e-01    9.9707744764e-01
         7   -3.6090067391e+01    7.5169654242e-01    2.0482193731e+03    2.0510000000e+03    2.5000000000e-01   -3.6223423618e+01    9.9823313502e-01    9.9804973184e-01
         8   -3.6100179957e+01    7.4061106260e-01    2.0508457045e+03    2.0510000000e+03    1.8750000000e-01   -3.6100778394e+01    9.9803367689e-01    9.9414919551e-01
         9   -3.6095033827e+01    7.5410661709e-01    2.0421560055e+03    2.0450000000e+03    4.3750000000e-01   -3.6239033926e+01    9.9829163057e-01    9.9413202934e-01
        10   -3.6085210991e+01    7.0243477011e-01    2.0467501743e+03    2.0410000000e+03    2.5000000000e-01   -3.5809274630e+01    9.9799573667e-01    9.9853013229e-01
        11   -3.6092740947e+01    7.3979945317e-01    2.0503366361e+03    2.0490000000e+03    3.7500000000e-01   -3.6024165716e+01    9.9803255138e-01    9.9609565642e-01
        12   -3.6081726454e+01    7.4942517917e-01    2.0505744435e+03    2.0530000000e+03    4.3750000000e-01   -3.6206769470e+01    9.9816933599e-01    9.9512907940e-01
        13   -3.6080806160e+01    7.4135962100e-01    2.0454478736e+03    2.0480000000e+03    3.7500000000e-01   -3.6207352762e+01    9.9849852424e-01    9.9511718750e-01
        14   -3.6062113195e+01    6.8541722070e-01    2.0453551494e+03    2.0430000000e+03    1.8750000000e-01   -3.5956112904e+01    9.9781451183e-01    9.9804209496e-01
        15   -3.6067182781e+01    6.7744241277e-01    2.0476827400e+03    2.0450000000e+03    3.1250000000e-01   -3.5932886636e+01    9.9810194411e-01    9.9657701711e-01
        16   -3.6079928995e+01    7.0555036484e-01    2.0424347721e+03    2.0420000000e+03    3.1250000000e-01   -3.6051690372e+01    9.9819315204e-01    9.9706170421e-01
        17   -3.6094411354e+01    7.1334186725e-01    2.0466860614e+03    2.0410000000e+03    1.8750000000e-01   -3.5807819469e+01    9.9847864384e-01    9.9804017638e-01
        18   -3.6083656828e+01    7.1654872489e-01    2.0461812535e+03    2.0450000000e+03    1.8750000000e-01   -3.6030233604e+01    9.9834805689e-01    9.9657701711e-01
        19   -3.6077414728e+01    7.1102218256e-01    2.0437360613e+03    2.0420000000e+03    2.5000000000e-01   -3.5994811393e+01    9.9841991483e-01    9.9706170421e-01
        20   -3.6079443378e+01    7.3154319480e-01    2.0472683959e+03    2.0430000000e+03    3.1250000000e-01   -3.5868997561e+01    9.9856605256e-01    9.9510523740e-01
        21   -3.6065759719e+01    7.0735016205e-01    2.0459408245e+03    2.0460000000e+03    5.6250000000e-01   -3.6079086086e+01    9.9814304042e-01    9.9755620723e-01
        22   -3.6074489059e+01    7.1292684913e-01    2.0479588545e+03    2.0480000000e+03    3.1250000000e-01   -3.6071595586e+01    9.9784538333e-01    9.9804687500e-01
        23   -3.6062950004e+01    6.7852405140e-01    2.0508918610e+03    2.0510000000e+03    3.7500000000e-01   -3.6073210628e+01    9.9791569601e-01    9.9561189664e-01
        24   -3.6060397838e+01    6.9801872974e-01    2.0497978977e+03    2.0500000000e+03    4.3750000000e-01   -3.6072071586e+01    9.9737329062e-01    9.9804878049e-01
        25   -3.6060247040e+01    7.1680822636e-01    2.0557981067e+03    2.0560000000e+03    4.3750000000e-01   -3.6069485494e+01    9.9798158254e-01    9.9708171206e-01
        26   -3.6064576097e+01    7.0100589951e-01    2.0558452531e+03    2.0560000000e+03    1.8750000000e-01   -3.6071014945e+01    9.9855509551e-01    9.9951361868e-01
        27   -3.6082513786e+01    6.8966198316e-01    2.0610279818e+03    2.0610000000e+03    2.5000000000e-01   -3.6070660962e+01    9.9812514049e-01    9.9757399321e-01
        28   -3.6078886601e+01    7.2053761823e-01    2.0641026512e+03    2.0640000000e+03    3.7500000000e-01   -3.6075138287e+01    9.9831016543e-01    9.9709302326e-01
        29   -3.6084449028e+01    7.4412340448e-01    2.0650742549e+03    2.0650000000e+03    2.5000000000e-01   -3.6077750042e+01    9.9819374771e-01    9.9757869249e-01
        30   -3.6072235813e+01    7.1334038446e-01    2.0679516023e+03    2.0680000000e+03    3.7500000000e-01   -3.6079673732e+01    9.9859141798e-01    9.9564796905e-01
        31   -3.6064786677e+01    6.7580819943e-01    2.0657581140e+03    2.0660000000e+03    3.1250000000e-01   -3.6081144697e+01    9.9741415758e-01    9.9757986447e-01
        32   -3.6088471477e+01    6.7457284220e-01    2.0739721442e+03    2.0740000000e+03    3.7500000000e-01   -3.6079528164e+01    9.9805453922e-01    9.9710703954e-01
        33   -3.6080009583e+01    6.7659539194e-01    2.0760032944e+03    2.0760000000e+03    2.5000000000e-01   -3.6084848627e+01    9.9833345960e-01    9.9855491329e-01
        34   -3.6083393841e+01    6.9546115845e-01    2.0768780911e+03    2.0770000000e+03    2.5000000000e-01   -3.6086381995e+01    9.9839115953e-01    9.9759268175e-01
        35   -3.6078543055e+01    7.1613791768e-01    2.0829011084e+03    2.0830000000e+03    3.1250000000e-01   -3.6087509471e+01    9.9781822112e-01    9.9807969275e-01
        36   -3.6098480316e+01    7.4585710175e-01    2.0829172219e+03    2.0830000000e+03    1.8750000000e-01   -3.6090720041e+01    9.9777185322e-01    9.9567930869e-01
        37   -3.6100118112e+01    7.6401149148e-01    2.0851934936e+03    2.0850000000e+03    2.5000000000e-01   -3.6092178262e+01    9.9822491749e-01    9.9712230216e-01
        38   -3.6093622241e+01    7.8281499595e-01    2.0870674088e+03    2.0870000000e+03    2.5000000000e-01   -3.6094650803e+01    9.9833081610e-01    9.9568758984e-01
        39   -3.6103483724e+01    7.6295566786e-01    2.0840325020e+03    2.0840000000e+03    3.7500000000e-01   -3.6096442202e+01    9.9840146391e-01    9.9520153551e-01
        40   -3.6110725977e+01    7.4344574210e-01    2.0802557285e+03    2.0800000000e+03    1.2500000000e-01   -3.6096283882e+01    9.9834562806e-01    9.9711538462e-01
        41   -3.6100524524e+01    7.6325018911e-01    2.0832113317e+03    2.0830000000e+03    4.3750000000e-01   -3.6095988238e+01    9.9845977718e-01    9.9855976956e-01
        42   -3.6090559247e+01    7.3698855904e-01    2.0849098709e+03    2.0850000000e+03    2.5000000000e-01   -3.6098324537e+01    9.9821935060e-01    9.9568345324e-01
        43   -3.6084858031e+01    7.5246186947e-01    2.0837661093e+03    2.0840000000e+03    3.7500000000e-01   -3.6099543100e+01    9.9855134009e-01    9.9664107486e-01
        44   -3.6088238010e+01    7.4322097421e-01    2.0847499017e+03    2.0850000000e+03    3.7500000000e-01   -3.6099126727e+01    9.9786166980e-01    9.9760191847e-01
        45   -3.6102042962e+01    7.7075495669e-01    2.0909262499e+03    2.0910000000e+03    3.7500000000e-01   -3.6099855717e+01    9.9855572223e-01    9.9521759923e-01
        46   -3.6096573422e+01    7.6622591244e-01    2.0889473041e+03    2.0890000000e+03    3.7500000000e-01   -3.6103582140e+01    9.9859347698e-01    9.9569171853e-01
        47   -3.6087120101e+01    7.7141557706e-01    2.0847813295e+03    2.0850000000e+03    3.1250000000e-01   -3.6103143941e+01    9.9790473325e-01    9.9712230216e-01
        48   -3.6091861034e+01    7.6552095506e-01    2.0877505728e+03    2.0880000000e+03    3.1250000000e-01   -3.6101282395e+01    9.9818775910e-01    9.9712643678e-01
        49   -3.6085486325e+01    7.8660970651e-01    2.0947031104e+03    2.0950000000e+03    4.3750000000e-01   -3.6102994557e+01    9.9854927326e-01    9.9761336516e-01
        50   -3.6091557224e+01    7.8322322774e-01    2.0946033830e+03    2.0950000000e+03    1.2500000000e-01   -3.6106376357e+01    9.9811135232e-01    9.9618138425e-01
        51   -3.6069447626e+01    7.7500818018e-01    2.0894310055e+03    2.0900000000e+03    3.1250000000e-01   -3.6106578069e+01    9.9829122888e-01    9.9904306220e-01
        52   -3.6093834573e+01    7.6752105420e-01    2.0945201336e+03    2.0950000000e+03    3.1250000000e-01   -3.6103648447e+01    9.9837544455e-01    9.9570405728e-01
        53   -3.6095495665e+01    7.1235597731e-01    2.0887455078e+03    2.0890000000e+03    2.5000000000e-01   -3.6106390659e+01    9.9807233526e-01    9.9664911441e-01
        54   -3.6100421561e+01    6.6329684152e-01    2.0888809717e+03    2.0890000000e+03    1.8750000000e-01   -3.6103970005e+01    9.9829356287e-01    9.9856390618e-01
        55   -3.6107895977e+01    6.6302519942e-01    2.0959833473e+03    2.0960000000e+03    3.7500000000e-01   -3.6104496329e+01    9.9839401006e-01    9.9570610687e-01
        56   -3.6107405376e+01    7.1521395232e-01    2.0939785663e+03    2.0940000000e+03    3.1250000000e-01   -3.6108534104e+01    9.9875867450e-01    9.9808978032e-01
        57   -3.6111203746e+01    7.4243998000e-01    2.0980247038e+03    2.0980000000e+03    2.5000000000e-01   -3.6108172575e+01    9.9800254550e-01    9.9809342231e-01
        58   -3.6109144750e+01    7.0691494022e-01    2.0959666649e+03    2.0960000000e+03    2.5000000000e-01   -3.6110767019e+01    9.9852912304e-01    9.9618320611e-01
        59   -3.6125808438e+01    6.9974632389e-01    2.0951577641e+03    2.0950000000e+03    3.1250000000e-01   -3.6110362784e+01    9.9781896036e-01    9.9665871122e-01
        60   -3.6104826479e+01    7.0269798977e-01    2.0960859492e+03    2.0960000000e+03    3.7500000000e-01   -3.6110941697e+01    9.9831800945e-01    9.9713740458e-01
        61   -3.6107085642e+01    7.1410625617e-01    2.0999077476e+03    2.1000000000e+03    3.7500000000e-01   -3.6111790710e+01    9.9833067798e-01    9.9761904762e-01
        62   -3.6101751305e+01    6.9124872141e-01    2.0997801890e+03    2.1000000000e+03    2.5000000000e-01   -3.6114052899e+01    9.9788341491e-01    9.9809523810e-01
        63   -3.6113675698e+01    7.0231175854e-01    2.1028501984e+03    2.1030000000e+03    3.7500000000e-01   -3.6114288155e+01    9.9848459960e-01    9.9714693295e-01
        64   -3.6107920789e+01    7.2515172947e-01    2.1018723807e+03    2.1020000000e+03    2.5000000000e-01   -3.6116302707e+01    9.9865893414e-01    9.9666983825e-01
        65   -3.6105165130e+01    7.0399686070e-01    2.1017907969e+03    2.1020000000e+03    3.1250000000e-01   -3.6116238670e+01    9.9838554601e-01    9.9619410086e-01
