#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5745626411e+01    1.2786273232e+03   -4.7404361584e+01    1.1658735173e+01   -8.4456511764e+00    3.8086380038e+00   -6.3492489368e+00   -3.6418099474e+01    2.0480000000e+04    5.1895899000e-01    6.9684942336e-01
         1   -3.5752542709e+01    1.2791392668e+03   -4.7432194416e+01    1.1679651707e+01   -8.4444687363e+00    3.7563133299e+00   -6.3259395351e+00   -3.6418099474e+01    2.0480000000e+04    5.1707383900e-01    6.9698602586e-01
         2   -3.5752535228e+01    1.2790789311e+03   -4.7436693767e+01    1.1684158539e+01   -8.4183374233e+00    3.7431077048e+00   -6.3433645741e+00   -3.6418099474e+01    2.0480000000e+04    5.3246550500e-01    6.9710693359e-01
         3   -3.5754961472e+01    1.2793150284e+03   -4.7363656695e+01    1.1608695222e+01   -8.3838318006e+00    3.7693635709e+00   -6.3310889910e+00   -3.6418099474e+01    2.0480000000e+04    5.1979732700e-01    6.9672154018e-01
         4   -3.5767717541e+01    1.2801942355e+03   -4.7450085285e+01    1.1682367744e+01   -8.3770894778e+00    3.7003291108e+00   -6.3552254441e+00   -3.6418099474e+01    2.0480000000e+04    5.2940278500e-01    6.9644542876e-01
         5   -3.5771550025e+01    1.2804944956e+03   -4.7475998274e+01    1.1704448249e+01   -8.4308145667e+00    3.7129254293e+00   -6.3400096619e+00   -3.6418099474e+01    2.0480000000e+04    5.4801517300e-01    6.9631696429e-01
         6   -3.5767287014e+01    1.2801624404e+03   -4.7518776960e+01    1.1751489946e+01   -8.4501442854e+00    3.6997592222e+00   -6.3502924226e+00   -3.6418099474e+01    2.0480000000e+04    5.1901022500e-01    6.9662504650e-01
         7   -3.5741025580e+01    1.2782912225e+03   -4.7425146949e+01    1.1684121369e+01   -8.4090943767e+00    3.7370550685e+00   -6.3350081672e+00   -3.6418099474e+01    2.0480000000e+04    5.1775845900e-01    6.9673490978e-01
         8   -3.5743183521e+01    1.2785011197e+03   -4.7423740108e+01    1.1680556587e+01   -8.4426577680e+00    3.7714577885e+00   -6.3344406545e+00   -3.6418099474e+01    2.0480000000e+04    5.3463152300e-01    6.9697381882e-01
         9   -3.5739946278e+01    1.2782524931e+03   -4.7447315234e+01    1.1707368956e+01   -8.4501369612e+00    3.7343401103e+00   -6.3134189088e+00   -3.6418099474e+01    2.0480000000e+04    5.8305317100e-01    6.9608212426e-01
        10   -3.5749176148e+01    1.2789335191e+03   -4.7424376652e+01    1.1675200504e+01   -8.4774705732e+00    3.7718982664e+00   -6.3007048708e+00   -3.6418099474e+01    2.0480000000e+04    5.3495097600e-01    6.9633730934e-01
        11   -3.5747276570e+01    1.2787716857e+03   -4.7435878156e+01    1.1688601586e+01   -8.4224054088e+00    3.7408498848e+00   -6.3362231583e+00   -3.6418099474e+01    2.0480000000e+04    5.6849386300e-01    6.9641113281e-01
        12   -3.5753072818e+01    1.2791924635e+03   -4.7446748765e+01    1.1693675947e+01   -8.4486735238e+00    3.7573496411e+00   -6.3373254082e+00   -3.6418099474e+01    2.0480000000e+04    5.5953207800e-01    6.9652739025e-01
        13   -3.5736583978e+01    1.2780128534e+03   -4.7408488030e+01    1.1671904052e+01   -8.4895139848e+00    3.8157119006e+00   -6.3165864716e+00   -3.6418099474e+01    2.0480000000e+04    5.1845354000e-01    6.9685291109e-01
        14   -3.5753470418e+01    1.2792003180e+03   -4.7500511855e+01    1.1747041437e+01   -8.4770841663e+00    3.7253820304e+00   -6.3307102452e+00   -3.6418099474e+01    2.0480000000e+04    5.5364860100e-01    6.9635532924e-01
        15   -3.5750813333e+01    1.2789884503e+03   -4.7399857091e+01    1.1649043758e+01   -8.3983341559e+00    3.7581020842e+00   -6.3415255456e+00   -3.6418099474e+01    2.0480000000e+04    5.2224606700e-01    6.9681105841e-01
        16   -3.5752881786e+01    1.2791635201e+03   -4.7441434892e+01    1.1688553107e+01   -8.5128552400e+00    3.8178707494e+00   -6.3283509275e+00   -3.6418099474e+01    2.0480000000e+04    5.3908055300e-01    6.9660760789e-01
        17   -3.5759006933e+01    1.2795953146e+03   -4.7463874243e+01    1.1704867310e+01   -8.4230074591e+00    3.7090609922e+00   -6.3318283023e+00   -3.6418099474e+01    2.0480000000e+04    5.1975423500e-01    6.9686802455e-01
