# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.5759819726e+01    8.4044570143e-01    2.0484309586e+03    2.0480000000e+03    0.0000000000e+00   -3.5739027285e+01    9.9500997667e-01    1.0000000000e+00
         1   -3.5790858258e+01    8.7914914412e-01    2.0486307290e+03    2.0480000000e+03    0.0000000000e+00   -3.5770340068e+01    9.9564402389e-01    9.8779296875e-01
         2   -3.5801376448e+01    8.6008012808e-01    2.0515475826e+03    2.0520000000e+03    6.2500000000e-01   -3.5806254544e+01    9.9493953875e-01    9.9220272904e-01
         3   -3.5824789701e+01    8.8597253100e-01    2.0440044669e+03    2.0470000000e+03    3.7500000000e-01   -3.5887912422e+01    9.9502745405e-01    9.9071812408e-01
         4   -3.5829106980e+01    8.0528492596e-01    2.0421537744e+03    2.0380000000e+03    5.0000000000e-01   -3.5727147228e+01    9.9557239922e-01    9.9509322866e-01
         5   -3.5822717844e+01    7.9595353084e-01    2.0486951207e+03    2.0430000000e+03    4.3750000000e-01   -3.5686172754e+01    9.9502416892e-01    9.9461576114e-01
         6   -3.5819978114e+01    8.0848481692e-01    2.0543027800e+03    2.0550000000e+03    4.3750000000e-01   -3.5839685685e+01    9.9515442196e-01    9.9075425791e-01
         7   -3.5842791030e+01    8.3415586096e-01    2.0502376619e+03    2.0560000000e+03    5.6250000000e-01   -3.5973618285e+01    9.9532285269e-01    9.9075875486e-01
         8   -3.5860281736e+01    8.2878461143e-01    2.0482185050e+03    2.0500000000e+03    6.2500000000e-01   -3.5897391624e+01    9.9538019998e-01    9.9317073171e-01
         9   -3.5868960184e+01    8.6024031720e-01    2.0580229680e+03    2.0580000000e+03    3.7500000000e-01   -3.5865616045e+01    9.9576997983e-01    9.9659863946e-01
        10   -3.5884731468e+01    9.0489759884e-01    2.0653225095e+03    2.0750000000e+03    5.6250000000e-01   -3.6113064709e+01    9.9456677611e-01    9.9180722892e-01
        11   -3.5892132217e+01    9.0464172030e-01    2.0478866306e+03    2.0650000000e+03    5.0000000000e-01   -3.6305865766e+01    9.9482243424e-01    9.9031476998e-01
