#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5354336122e+01    1.2506358162e+03   -4.8231740623e+01    1.2877404501e+01   -9.4328468476e+00    3.8957255475e+00   -6.2765198483e+00   -3.6418099474e+01    2.0480180000e+04    5.8072482600e-01    9.9898681641e-01
         1   -3.5374118803e+01    1.2520584552e+03   -4.8368345622e+01    1.2994226819e+01   -9.4570739252e+00    3.7885331702e+00   -6.2817053923e+00   -3.6418099474e+01    2.0487759544e+04    5.7643641600e-01    9.9893169096e-01
         2   -3.5366993069e+01    1.2515179002e+03   -4.8309339619e+01    1.2942346550e+01   -9.4363878028e+00    3.8115533076e+00   -6.2664056499e+00   -3.6418099474e+01    2.0454341509e+04    5.5472321900e-01    9.9906952223e-01
         3   -3.5379912628e+01    1.2524549340e+03   -4.8164368680e+01    1.2784456052e+01   -9.4437523174e+00    3.9766488636e+00   -6.2791657525e+00   -3.6418099474e+01    2.0263005235e+04    5.3880345100e-01    9.9893698039e-01
         4   -3.5368732891e+01    1.2515995552e+03   -4.8245782330e+01    1.2877049439e+01   -9.3692465273e+00    3.8516008492e+00   -6.3100371773e+00   -3.6418099474e+01    2.0362405512e+04    5.8288965500e-01    9.9899673060e-01
         5   -3.5388009748e+01    1.2530047052e+03   -4.8332130210e+01    1.2944120461e+01   -9.3524272042e+00    3.7561193008e+00   -6.3177228322e+00   -3.6418099474e+01    2.0375888424e+04    5.2663550900e-01    9.9896742027e-01
         6   -3.5409193112e+01    1.2545095118e+03   -4.8394008813e+01    1.2984815701e+01   -9.3784743565e+00    3.7069284617e+00   -6.3043634440e+00   -3.6418099474e+01    2.0411838280e+04    5.2526456500e-01    9.9899709455e-01
         7   -3.5378457894e+01    1.2523168235e+03   -4.8420365529e+01    1.3041907635e+01   -9.3836755410e+00    3.6814046172e+00   -6.2999951306e+00   -3.6418099474e+01    2.0474529185e+04    5.5893145800e-01    9.9901622187e-01
         8   -3.5379341472e+01    1.2523776817e+03   -4.8307863149e+01    1.2928521678e+01   -9.3814372459e+00    3.8080764289e+00   -6.3164028582e+00   -3.6418099474e+01    2.0338635422e+04    5.3315509500e-01    9.9895866991e-01
         9   -3.5371144205e+01    1.2517923111e+03   -4.8294211058e+01    1.2923066853e+01   -9.3792911310e+00    3.8112502235e+00   -6.3080706760e+00   -3.6418099474e+01    2.0140491643e+04    5.3337200800e-01    9.9896256730e-01
        10   -3.5368181203e+01    1.2516019253e+03   -4.8352078578e+01    1.2983897375e+01   -9.4057158827e+00    3.7613348192e+00   -6.2895980404e+00   -3.6418099474e+01    2.0063757483e+04    5.2367257500e-01    9.9893544298e-01
        11   -3.5380745861e+01    1.2525149048e+03   -4.8309041525e+01    1.2928295664e+01   -9.4323876768e+00    3.8306435807e+00   -6.2891979547e+00   -3.6418099474e+01    2.0169535168e+04    5.5785987600e-01    9.9897104036e-01
        12   -3.5370384277e+01    1.2517736997e+03   -4.8251729576e+01    1.2881345299e+01   -9.5114807967e+00    3.9775585765e+00   -6.2997078813e+00   -3.6418099474e+01    2.0243987897e+04    5.2658126100e-01    9.9897495431e-01
        13   -3.5370459338e+01    1.2518355294e+03   -4.8268144785e+01    1.2897685447e+01   -9.5017284523e+00    3.9524162535e+00   -6.3007331121e+00   -3.6418099474e+01    2.0405104711e+04    5.3026418200e-01    9.9892013553e-01
        14   -3.5372469227e+01    1.2519313833e+03   -4.8252255666e+01    1.2879786438e+01   -9.5211557174e+00    3.9715377416e+00   -6.2845382159e+00   -3.6418099474e+01    2.0426693570e+04    5.5060659200e-01    9.9897020050e-01
        15   -3.5374811398e+01    1.2520467169e+03   -4.8307183734e+01    1.2932372336e+01   -9.4484031225e+00    3.8495913164e+00   -6.2902724542e+00   -3.6418099474e+01    2.0371136411e+04    5.4023807500e-01    9.9897788874e-01
        16   -3.5367176796e+01    1.2515029934e+03   -4.8269060815e+01    1.2901884019e+01   -9.5119679845e+00    3.9419310441e+00   -6.2809244000e+00   -3.6418099474e+01    2.0288430253e+04    5.5503192200e-01    9.9898074865e-01
