# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.5667630572e+01    8.4426007308e-01    2.0485128547e+03    2.0480000000e+03    0.0000000000e+00   -3.5642622849e+01    9.9577825548e-01    1.0000000000e+00
         1   -3.5681832854e+01    8.5134772053e-01    2.0482909961e+03    2.0480000000e+03    0.0000000000e+00   -3.5680149872e+01    9.9609618857e-01    9.8730468750e-01
         2   -3.5684046607e+01    8.7612319556e-01    2.0517589562e+03    2.0520000000e+03    7.5000000000e-01   -3.5688936747e+01    9.9535960638e-01    9.9415204678e-01
         3   -3.5677526444e+01    7.8738957441e-01    2.0430669203e+03    2.0470000000e+03    7.5000000000e-01   -3.5775733881e+01    9.9553508272e-01    9.8925256473e-01
         4   -3.5675752208e+01    8.2042872310e-01    2.0428914215e+03    2.0380000000e+03    7.5000000000e-01   -3.5556944644e+01    9.9460143720e-01    9.9558390579e-01
         5   -3.5698059241e+01    8.0227654652e-01    2.0454748226e+03    2.0400000000e+03    5.0000000000e-01   -3.5550875239e+01    9.9465046866e-01    9.9705882353e-01
         6   -3.5711981170e+01    7.8819462569e-01    2.0496867266e+03    2.0470000000e+03    7.5000000000e-01   -3.5636371363e+01    9.9625075958e-01    9.9511480215e-01
         7   -3.5715303425e+01    8.2256913385e-01    2.0483945769e+03    2.0500000000e+03    2.5000000000e-01   -3.5753144070e+01    9.9479326830e-01    9.9463414634e-01
         8   -3.5712750379e+01    8.4621958235e-01    2.0505051486e+03    2.0510000000e+03    2.5000000000e-01   -3.5724935723e+01    9.9615610795e-01    9.9609946368e-01
         9   -3.5737272608e+01    8.3310573763e-01    2.0559655201e+03    2.0580000000e+03    5.0000000000e-01   -3.5773873856e+01    9.9497264783e-01    9.9319727891e-01
        10   -3.5740497981e+01    8.2170471602e-01    2.0430979001e+03    2.0510000000e+03    5.0000000000e-01   -3.5931366102e+01    9.9568183087e-01    9.8927352511e-01
        11   -3.5756581690e+01    8.6328539459e-01    2.0452510428e+03    2.0400000000e+03    2.5000000000e-01   -3.5620674347e+01    9.9500939086e-01    9.9460784314e-01
        12   -3.5752074694e+01    7.9858119614e-01    2.0435853297e+03    2.0410000000e+03    7.5000000000e-01   -3.5689423395e+01    9.9574151458e-01    9.9216070554e-01
        13   -3.5752066727e+01    8.0467207820e-01    2.0444566908e+03    2.0400000000e+03    5.0000000000e-01   -3.5644178324e+01    9.9519396699e-01    9.9460784314e-01
        14   -3.5765989512e+01    7.7971548835e-01    2.0478228706e+03    2.0440000000e+03    2.5000000000e-01   -3.5665485233e+01    9.9490221107e-01    9.9510763209e-01
        15   -3.5748553103e+01    7.7295920289e-01    2.0498214771e+03    2.0500000000e+03    5.0000000000e-01   -3.5761664876e+01    9.9560413499e-01    9.9463414634e-01
        16   -3.5762805729e+01    7.6708288215e-01    2.0525111226e+03    2.0540000000e+03    7.5000000000e-01   -3.5793002995e+01    9.9514728248e-01    9.9318403116e-01
        17   -3.5809094929e+01    7.6580435787e-01    2.0504924053e+03    2.0540000000e+03    7.5000000000e-01   -3.5872819438e+01    9.9463610028e-01    9.8880233690e-01
        18   -3.5805688795e+01    8.1503546519e-01    2.0395702015e+03    2.0420000000e+03    7.5000000000e-01   -3.5869907670e+01    9.9559674458e-01    9.9314397649e-01
        19   -3.5783970166e+01    8.3021417915e-01    2.0560312226e+03    2.0480000000e+03    2.5000000000e-01   -3.5599458441e+01    9.9597695311e-01    9.9462890625e-01
        20   -3.5794781193e+01    8.2512219687e-01    2.0482284053e+03    2.0560000000e+03    5.0000000000e-01   -3.5979661486e+01    9.9536270917e-01    9.9124513619e-01
        21   -3.5818880156e+01    7.8100049861e-01    2.0526046801e+03    2.0520000000e+03    1.0000000000e+00   -3.5794892713e+01    9.9522283329e-01    9.9610136452e-01
        22   -3.5807238206e+01    7.5742604726e-01    2.0580796667e+03    2.0580000000e+03    5.0000000000e-01   -3.5809076530e+01    9.9576444044e-01    9.9222546161e-01
        23   -3.5786675079e+01    7.0432543571e-01    2.0503645948e+03    2.0510000000e+03    2.5000000000e-01   -3.5811876159e+01    9.9580741548e-01    9.9561189664e-01
        24   -3.5792532029e+01    7.2051570893e-01    2.0544660006e+03    2.0550000000e+03    1.0000000000e+00   -3.5803047580e+01    9.9476699539e-01    9.9464720195e-01
        25   -3.5779094877e+01    7.4753040244e-01    2.0583286083e+03    2.0590000000e+03    5.0000000000e-01   -3.5803173586e+01    9.9535733329e-01    9.9368625546e-01
        26   -3.5782266326e+01    7.7612178291e-01    2.0531556566e+03    2.0540000000e+03    7.5000000000e-01   -3.5801564181e+01    9.9537162414e-01    9.9172346641e-01
        27   -3.5803534476e+01    7.6378808103e-01    2.0458226555e+03    2.0460000000e+03    2.5000000000e-01   -3.5797009656e+01    9.9539238064e-01    9.9608993157e-01
        28   -3.5814424441e+01    7.4179319981e-01    2.0474425488e+03    2.0470000000e+03    5.0000000000e-01   -3.5794561571e+01    9.9466220081e-01    9.9218368344e-01
        29   -3.5811481452e+01    7.4448750934e-01    2.0436756612e+03    2.0430000000e+03    5.0000000000e-01   -3.5797441857e+01    9.9556827715e-01    9.9706314244e-01
        30   -3.5817759436e+01    6.9018303974e-01    2.0556563816e+03    2.0550000000e+03    5.0000000000e-01   -3.5796977098e+01    9.9566647024e-01    9.9318734793e-01
        31   -3.5810740626e+01    7.0957934172e-01    2.0534037949e+03    2.0530000000e+03    5.0000000000e-01   -3.5804519467e+01    9.9520498727e-01    9.9464198734e-01
        32   -3.5828749571e+01    7.4017097013e-01    2.0525606283e+03    2.0520000000e+03    5.0000000000e-01   -3.5804252455e+01    9.9576746034e-01    9.9902534113e-01
