#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5802320448e+01    1.2826775069e+03   -4.7527112403e+01    1.1724791955e+01   -8.3742463822e+00    3.6442630115e+00   -6.3790295584e+00   -3.6418099474e+01    1.0239213758e+04    1.0179045250e+00    9.9719723907e-01
         1   -3.5828419860e+01    1.2847293708e+03   -4.7585583594e+01    1.1757163734e+01   -8.4376324952e+00    3.6791137720e+00   -6.4089653968e+00   -3.6418099474e+01    1.0252929732e+04    1.0159099910e+00    9.9722996516e-01
         2   -3.5873416089e+01    1.2878701404e+03   -4.7551311328e+01    1.1677895239e+01   -8.4672064732e+00    3.7512576922e+00   -6.4172630733e+00   -3.6418099474e+01    1.0240082538e+04    1.0286905110e+00    9.9693927351e-01
         3   -3.5874447408e+01    1.2878402514e+03   -4.7559632937e+01    1.1685185530e+01   -8.5123814663e+00    3.8302323983e+00   -6.4593843952e+00   -3.6418099474e+01    1.0227360586e+04    1.0118717940e+00    9.9730702061e-01
         4   -3.5897189602e+01    1.2894386151e+03   -4.7600629971e+01    1.1703440370e+01   -8.5521804115e+00    3.8151024690e+00   -6.4454525548e+00   -3.6418099474e+01    1.0242612131e+04    1.0191994420e+00    9.9696709525e-01
         5   -3.5882998028e+01    1.2883368914e+03   -4.7722229359e+01    1.1839231331e+01   -8.5506952402e+00    3.7254139225e+00   -6.4788485674e+00   -3.6418099474e+01    1.0283629456e+04    1.0367459950e+00    9.9698272270e-01
         6   -3.5921012486e+01    1.2911216856e+03   -4.7634061644e+01    1.1713049158e+01   -8.6015597835e+00    3.8492622778e+00   -6.4636646640e+00   -3.6418099474e+01    1.0299364127e+04    1.0371157610e+00    9.9710330951e-01
         7   -3.5943616149e+01    1.2926666964e+03   -4.7749711179e+01    1.1806095031e+01   -8.5208809165e+00    3.6690017558e+00   -6.4797325444e+00   -3.6418099474e+01    1.0387969191e+04    1.0438413260e+00    9.9707626477e-01
         8   -3.5956670879e+01    1.2936519904e+03   -4.7709795246e+01    1.1753124367e+01   -8.4912780093e+00    3.7000174371e+00   -6.5004351992e+00   -3.6418099474e+01    1.0380479345e+04    1.0425786790e+00    9.9714629948e-01
         9   -3.5948512129e+01    1.2930574342e+03   -4.7711406766e+01    1.1762894637e+01   -8.4792109227e+00    3.7153387047e+00   -6.5294350740e+00   -3.6418099474e+01    1.0421897759e+04    1.0414708980e+00    9.9713463120e-01
        10   -3.5964136173e+01    1.2941720631e+03   -4.7813726836e+01    1.1849590663e+01   -8.4792900608e+00    3.5794072152e+00   -6.4957445166e+00   -3.6418099474e+01    1.0512182076e+04    1.0506466810e+00    9.9726111187e-01
