#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5272497482e+01    1.2450263234e+03   -4.8003053271e+01    1.2730555788e+01   -9.1218956029e+00    3.7064599516e+00   -6.1695181452e+00   -3.6418099474e+01    1.0243420354e+04    2.8604422000e-01    9.9728222997e-01
         1   -3.5311276832e+01    1.2477373303e+03   -4.8017479496e+01    1.2706202663e+01   -9.1415899436e+00    3.7432690306e+00   -6.2010591084e+00   -3.6418099474e+01    1.0238582120e+04    2.7757399600e-01    9.9740310510e-01
         2   -3.5337792671e+01    1.2496300531e+03   -4.7922192533e+01    1.2584399861e+01   -9.1838955454e+00    3.8850706150e+00   -6.2052681282e+00   -3.6418099474e+01    1.0260706016e+04    2.8560472900e-01    9.9731664929e-01
         3   -3.5384202356e+01    1.2529297766e+03   -4.8152417747e+01    1.2768215391e+01   -9.2361615139e+00    3.7131211851e+00   -6.2112779437e+00   -3.6418099474e+01    1.0246761848e+04    2.9470785100e-01    9.9740614715e-01
         4   -3.5401500966e+01    1.2541174209e+03   -4.8115407684e+01    1.2713906718e+01   -9.2385777648e+00    3.7425604014e+00   -6.2012908470e+00   -3.6418099474e+01    1.0199113786e+04    2.4877215200e-01    9.9740851100e-01
         5   -3.5394586553e+01    1.2535798095e+03   -4.8091788211e+01    1.2697201658e+01   -9.2454344047e+00    3.7900218076e+00   -6.2182761399e+00   -3.6418099474e+01    1.0101008588e+04    2.4172885200e-01    9.9724893918e-01
         6   -3.5420301014e+01    1.2554459281e+03   -4.8147523002e+01    1.2727221988e+01   -9.1988372104e+00    3.7001182945e+00   -6.2307046119e+00   -3.6418099474e+01    1.0033846551e+04    3.2554881300e-01    9.9722534870e-01
         7   -3.5436809005e+01    1.2565702418e+03   -4.8105234192e+01    1.2668425187e+01   -9.2158434442e+00    3.7788827245e+00   -6.2501739981e+00   -3.6418099474e+01    9.9864433199e+03    3.6918289100e-01    9.9725412418e-01
         8   -3.5460117015e+01    1.2582364281e+03   -4.8089019046e+01    1.2628902031e+01   -9.1697984439e+00    3.7540215570e+00   -6.2551426846e+00   -3.6418099474e+01    1.0115007046e+04    3.0975942900e-01    9.9727150633e-01
         9   -3.5481814287e+01    1.2597666056e+03   -4.8112650770e+01    1.2630836483e+01   -9.0851893008e+00    3.6862541344e+00   -6.2956161292e+00   -3.6418099474e+01    1.0234097825e+04    2.4953375900e-01    9.9722614273e-01
        10   -3.5503001098e+01    1.2612700173e+03   -4.8188291023e+01    1.2685289925e+01   -9.1371457810e+00    3.6466820716e+00   -6.2797278395e+00   -3.6418099474e+01    1.0265526063e+04    2.5428335700e-01    9.9715386545e-01
        11   -3.5487464360e+01    1.2601109005e+03   -4.8188970414e+01    1.2701506054e+01   -9.1809724272e+00    3.6789186675e+00   -6.2688171801e+00   -3.6418099474e+01    1.0285489840e+04    2.6682686300e-01    9.9732090735e-01
        12   -3.5496821775e+01    1.2608001496e+03   -4.8202159387e+01    1.2705337612e+01   -9.1956176220e+00    3.7141332315e+00   -6.3025755222e+00   -3.6418099474e+01    1.0301629923e+04    2.9765385100e-01    9.9723806748e-01
        13   -3.5493628512e+01    1.2605527148e+03   -4.8147442968e+01    1.2653814457e+01   -9.1937194732e+00    3.7743510322e+00   -6.3099750532e+00   -3.6418099474e+01    1.0327069540e+04    2.6823711300e-01    9.9733552950e-01
        14   -3.5498508013e+01    1.2608809791e+03   -4.8188457412e+01    1.2689949398e+01   -9.1703570284e+00    3.7153063527e+00   -6.3153072619e+00   -3.6418099474e+01    1.0311617683e+04    2.8669071300e-01    9.9742150135e-01
        15   -3.5513831487e+01    1.2619885953e+03   -4.8187948064e+01    1.2674116576e+01   -9.1497216942e+00    3.6974132556e+00   -6.3175401509e+00   -3.6418099474e+01    1.0334256418e+04    2.7267033600e-01    9.9726791075e-01
        16   -3.5556365526e+01    1.2650075964e+03   -4.8143016410e+01    1.2586650884e+01   -9.1464683172e+00    3.7330825120e+00   -6.3115311311e+00   -3.6418099474e+01    1.0353270197e+04    2.8164466700e-01    9.9746748849e-01
        17   -3.5537429647e+01    1.2636309267e+03   -4.8222307945e+01    1.2684878297e+01   -9.1086912476e+00    3.6349101643e+00   -6.3304273874e+00   -3.6418099474e+01    1.0428249490e+04    2.6996432900e-01    9.9728860735e-01
        18   -3.5525308703e+01    1.2627604686e+03   -4.8134895329e+01    1.2609586626e+01   -9.1687725704e+00    3.7797011298e+00   -6.3277244144e+00   -3.6418099474e+01    1.0478557613e+04    2.7381063000e-01    9.9746627382e-01
        19   -3.5531297978e+01    1.2631780356e+03   -4.8114145163e+01    1.2582847185e+01   -9.0991649633e+00    3.7446713239e+00   -6.3415520489e+00   -3.6418099474e+01    1.0499101268e+04    2.6795602200e-01    9.9732159874e-01
        20   -3.5512448422e+01    1.2618152342e+03   -4.7965549031e+01    1.2453100609e+01   -9.0929394368e+00    3.8737463433e+00   -6.3282564636e+00   -3.6418099474e+01    1.0495484797e+04    2.6661009500e-01    9.9725039134e-01
        21   -3.5511992101e+01    1.2618366465e+03   -4.8002957918e+01    1.2490965818e+01   -9.1585254684e+00    3.9115082859e+00   -6.3378412615e+00   -3.6418099474e+01    1.0482015618e+04    2.7000039600e-01    9.9729468204e-01
        22   -3.5531134117e+01    1.2631479552e+03   -4.8149389761e+01    1.2618255644e+01   -9.0895180215e+00    3.7064154197e+00   -6.3481876850e+00   -3.6418099474e+01    1.0476575772e+04    2.6916952300e-01    9.9724776274e-01
        23   -3.5521742133e+01    1.2625173825e+03   -4.8123935217e+01    1.2602193083e+01   -9.0044636353e+00    3.6244221782e+00   -6.3257942854e+00   -3.6418099474e+01    1.0545379732e+04    2.6818951300e-01    9.9739890266e-01
        24   -3.5534194004e+01    1.2634201786e+03   -4.8126687616e+01    1.2592493613e+01   -9.0187072675e+00    3.6726119682e+00   -6.3624928428e+00   -3.6418099474e+01    1.0553647800e+04    2.6834459500e-01    9.9733606835e-01
        25   -3.5547652876e+01    1.2643353379e+03   -4.8203680404e+01    1.2656027528e+01   -9.0565729275e+00    3.6451513150e+00   -6.3741593176e+00   -3.6418099474e+01    1.0546385644e+04    3.0089898400e-01    9.9731998862e-01
        26   -3.5541043917e+01    1.2639170319e+03   -4.8198034724e+01    1.2656990807e+01   -9.0769339591e+00    3.6602777284e+00   -6.3632790194e+00   -3.6418099474e+01    1.0585632737e+04    2.8939862700e-01    9.9720913595e-01
        27   -3.5574157563e+01    1.2662772046e+03   -4.8162836376e+01    1.2588678813e+01   -9.1402017380e+00    3.7342334638e+00   -6.3387686272e+00   -3.6418099474e+01    1.0632264382e+04    2.7177001800e-01    9.9737815126e-01
