#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.4771486416e+01    1.2100574030e+03   -4.8131532902e+01    1.3360046486e+01   -9.7790265741e+00    3.9580167768e+00   -5.8924236301e+00   -3.6418099474e+01    2.0480000000e+04    2.1533071460e+00    6.7152913411e-01
         1   -3.4769323815e+01    1.2098870540e+03   -4.8214544715e+01    1.3445220900e+01   -9.8193660636e+00    3.8961162118e+00   -5.8731953891e+00   -3.6418099474e+01    2.0480000000e+04    2.1571405800e+00    6.7109026228e-01
         2   -3.4779539940e+01    1.2106349143e+03   -4.8229462327e+01    1.3449922388e+01   -9.8463640209e+00    3.9202092577e+00   -5.8852080900e+00   -3.6418099474e+01    2.0480000000e+04    2.1592501260e+00    6.7208484468e-01
         3   -3.4769451951e+01    1.2098969511e+03   -4.8222431432e+01    1.3452979481e+01   -9.7945411010e+00    3.8738690141e+00   -5.8836598713e+00   -3.6418099474e+01    2.0480000000e+04    2.1601764270e+00    6.7231735956e-01
         4   -3.4780053878e+01    1.2106302030e+03   -4.8239062165e+01    1.3459008287e+01   -9.8489043398e+00    3.9313674816e+00   -5.9034258322e+00   -3.6418099474e+01    2.0480000000e+04    2.1597764210e+00    6.7127976190e-01
         5   -3.4753869637e+01    1.2088511819e+03   -4.8130404327e+01    1.3376534690e+01   -9.8178079962e+00    3.9567328924e+00   -5.8512297493e+00   -3.6418099474e+01    2.0480000000e+04    2.1702199640e+00    6.7157040551e-01
         6   -3.4756926136e+01    1.2090484325e+03   -4.8206390057e+01    1.3449463921e+01   -9.7487585587e+00    3.8456537894e+00   -5.8851858138e+00   -3.6418099474e+01    2.0480000000e+04    2.1634316690e+00    6.7167329334e-01
         7   -3.4755112902e+01    1.2088800951e+03   -4.8169695275e+01    1.3414582373e+01   -9.7573803893e+00    3.9131878552e+00   -5.9074032669e+00   -3.6418099474e+01    2.0480000000e+04    2.1699053800e+00    6.7192964100e-01
         8   -3.4773004249e+01    1.2101235910e+03   -4.8225845295e+01    1.3452841045e+01   -9.8409192707e+00    3.9146567129e+00   -5.8814832626e+00   -3.6418099474e+01    2.0480000000e+04    2.1682920730e+00    6.7191336496e-01
         9   -3.4791051854e+01    1.2113557968e+03   -4.8242251203e+01    1.3451199349e+01   -9.7995867849e+00    3.8885590785e+00   -5.9131240222e+00   -3.6418099474e+01    2.0480000000e+04    2.1703355680e+00    6.7108096168e-01
        10   -3.4780527764e+01    1.2106309455e+03   -4.8220644375e+01    1.3440116611e+01   -9.8413320176e+00    3.9250570606e+00   -5.8862699438e+00   -3.6418099474e+01    2.0480000000e+04    2.1679160090e+00    6.7175583612e-01
        11   -3.4769922483e+01    1.2099601373e+03   -4.8191276813e+01    1.3421354331e+01   -9.8072079915e+00    3.9165914710e+00   -5.8825608186e+00   -3.6418099474e+01    2.0480000000e+04    2.1660645160e+00    6.7193196615e-01
        12   -3.4752508790e+01    1.2087172375e+03   -4.8223238937e+01    1.3470730147e+01   -9.8473778712e+00    3.9195256963e+00   -5.8772872879e+00   -3.6418099474e+01    2.0480000000e+04    2.1698943430e+00    6.7175409226e-01
