#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
       0        0       18        0    -0.222438  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
       1        1       18        1    -0.220707  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
       2        2       18        2    -0.200553  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
       3        3       18        3    -0.173614  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
       4        4       18        4    -0.161091  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
       5        5       18        5     0.017876  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
       6        6       18        6     0.084151  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
       7        7       18        7     0.088813  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
       8        8       18        8     0.093279  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
       9        9       18        9     0.094951  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      10       10       18       10     0.102267  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      11       11       18       11     0.125810  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      12       12       18       12     0.177233  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      13       13       18       13     0.192977  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      14       14       18       14     0.232179  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      15       15       18       15     0.253078  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      16       16       18       16     0.312922  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      17       17       18       17     0.318798  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      18       18       18       18     0.345640  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      19       19       18       19     0.346317  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      20       20       18       20     0.349675  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      21       21       18       21     0.399131  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      22       22       18       22     0.522959  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      23       23       18       23     0.545194  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      24       24       18       24     0.557622  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      25       25       18       25     0.560424  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      26       26       18       26     0.564269  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      27       27       18       27     0.576342  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      28       28       18       28     0.577723  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      29       29       18       29     0.599159  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      30       30       18       30     0.613683  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      31       31       18       31     0.614962  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      32       32       18       32     0.628743  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      33       33       18       33     0.641799  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      34       34       18       34     0.652839  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      35       35       18       35     0.675100  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      36       36       18       36     0.683377  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      37       37       18       37     0.686396  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      38       38       18       38     0.728579  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      39       39       18       39     0.730608  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      40       40       18       40     0.739616  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      41       41       18       41     0.755711  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      42       42       18       42     0.771098  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      43       43       18       43     0.781638  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      44       44       18       44     0.788962  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      45       45       18       45     0.804435  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      46       46       18       46     0.823980  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      47       47       18       47     0.837410  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      48       48       18       48     0.849785  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      49       49       18       49     0.850569  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      50       50       18       50     0.855144  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      51       51       18       51     0.866426  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      52       52       18       52     0.871738  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      53       53       18       53     0.891561  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      54       54       18       54     0.895238  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      55       55       18       55     0.912981  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      56       56       18       56     0.917445  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      57       57       18       57     0.920532  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      58       58       18       58     0.933736  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      59       59       18       59     0.946162  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      60       60       18       60     0.952367  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      61       61       18       61     0.963378  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      62       62       18       62     0.981286  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      63       63       18       63     0.991819  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      64       64       18       64     1.017360  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      65       65       18       65     1.038003  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      66       66       18       66     1.062909  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      67       67       18       67     1.069321  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      68       68       18       68     1.075847  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      69       69       18       69     1.082993  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      70       70       18       70     1.107502  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      71       71       18       71     1.108620  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      72       72       18       72     1.119264  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      73       73       18       73     1.131265  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      74       74       18       74     1.131666  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      75       75       18       75     1.141346  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
