# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.6017015297e+01    6.7895005347e-01    2.0481369915e+03    2.0480000000e+03    0.0000000000e+00   -3.6003542060e+01    9.9878523458e-01    1.0000000000e+00
         1   -3.6017024444e+01    6.9148367316e-01    2.0479999462e+03    2.0480000000e+03    0.0000000000e+00   -3.6023704111e+01    9.9809647050e-01    9.9267578125e-01
         2   -3.6025754880e+01    6.6724286708e-01    2.0400872710e+03    2.0400000000e+03    3.7500000000e-01   -3.6017021819e+01    9.9832138034e-01    9.9656862745e-01
         3   -3.6037209950e+01    6.7216099957e-01    2.0510770287e+03    2.0430000000e+03    3.7500000000e-01   -3.5638642848e+01    9.9805592547e-01    9.9755261870e-01
         4   -3.6012177991e+01    6.4176728815e-01    2.0406553318e+03    2.0440000000e+03    3.1250000000e-01   -3.6187342735e+01    9.9824747011e-01    9.9755381605e-01
         5   -3.6005787793e+01    6.7905522819e-01    2.0492541349e+03    2.0420000000e+03    2.5000000000e-01   -3.5652907010e+01    9.9799908904e-01    9.9853085211e-01
         6   -3.6015423671e+01    6.4519491011e-01    2.0508504443e+03    2.0520000000e+03    3.7500000000e-01   -3.6067006104e+01    9.9849645892e-01    9.9805068226e-01
         7   -3.6016393341e+01    6.4964106008e-01    2.0501584123e+03    2.0530000000e+03    1.8750000000e-01   -3.6154508754e+01    9.9829806512e-01    9.9512907940e-01
         8   -3.6014307884e+01    6.6001927091e-01    2.0438416193e+03    2.0460000000e+03    3.7500000000e-01   -3.6121729070e+01    9.9788997179e-01    9.9853372434e-01
         9   -3.6007341414e+01    6.7977507547e-01    2.0490473302e+03    2.0450000000e+03    1.8750000000e-01   -3.5811055532e+01    9.9870417225e-01    9.9853300733e-01
        10   -3.6014926416e+01    6.8495678878e-01    2.0480119541e+03    2.0490000000e+03    3.1250000000e-01   -3.6058467510e+01    9.9855882274e-01    9.9463152757e-01
        11   -3.6029135746e+01    7.1270067906e-01    2.0461824702e+03    2.0460000000e+03    2.5000000000e-01   -3.6015510109e+01    9.9811257593e-01    9.9706744868e-01
        12   -3.6040634739e+01    6.7142521367e-01    2.0459117770e+03    2.0440000000e+03    3.1250000000e-01   -3.5940349770e+01    9.9850407679e-01    9.9706457926e-01
        13   -3.6022956046e+01    6.8530057467e-01    2.0448903898e+03    2.0430000000e+03    3.1250000000e-01   -3.5938618709e+01    9.9796576402e-01    9.9657366618e-01
        14   -3.6016786585e+01    6.8247638208e-01    2.0470503393e+03    2.0440000000e+03    2.5000000000e-01   -3.5871004223e+01    9.9815977502e-01    1.0000000000e+00
        15   -3.6011896661e+01    6.9538388421e-01    2.0498656805e+03    2.0490000000e+03    1.8750000000e-01   -3.5970405680e+01    9.9844994325e-01    9.9755978526e-01
        16   -3.6020904206e+01    6.9661311166e-01    2.0462175589e+03    2.0480000000e+03    3.1250000000e-01   -3.6102952873e+01    9.9814328153e-01    9.9658203125e-01
        17   -3.6029375228e+01    6.9305673839e-01    2.0428641644e+03    2.0410000000e+03    3.1250000000e-01   -3.5933833054e+01    9.9864168810e-01    9.9608035277e-01
        18   -3.6033860188e+01    7.4346090428e-01    2.0431577122e+03    2.0380000000e+03    3.7500000000e-01   -3.5778287043e+01    9.9835309159e-01    9.9852796860e-01
        19   -3.6034538078e+01    7.5981697523e-01    2.0437817696e+03    2.0390000000e+03    1.2500000000e-01   -3.5797140393e+01    9.9835909420e-01    9.9754781756e-01
        20   -3.6037351372e+01    8.2019720284e-01    2.0492365093e+03    2.0450000000e+03    3.7500000000e-01   -3.5828357391e+01    9.9792839168e-01    9.9853300733e-01
        21   -3.6042082371e+01    7.0685928463e-01    2.0529857949e+03    2.0530000000e+03    4.3750000000e-01   -3.6037954954e+01    9.9792177599e-01    9.9512907940e-01
        22   -3.6040562291e+01    6.9452741181e-01    2.0499720861e+03    2.0500000000e+03    4.3750000000e-01   -3.6042148383e+01    9.9829666277e-01    9.9658536585e-01
        23   -3.6045424946e+01    8.1643933419e-01    2.0509279355e+03    2.0510000000e+03    5.0000000000e-01   -3.6040961147e+01    9.9847562966e-01    9.9707459776e-01
        24   -3.6023175767e+01    6.8805151436e-01    2.0517211155e+03    2.0520000000e+03    3.7500000000e-01   -3.6042783880e+01    9.9767073176e-01    9.9610136452e-01
        25   -3.6016594545e+01    6.7844526299e-01    2.0536534927e+03    2.0540000000e+03    3.7500000000e-01   -3.6039534652e+01    9.9839767989e-01    9.9707887050e-01
        26   -3.6037869833e+01    6.7556141105e-01    2.0598423662e+03    2.0600000000e+03    4.3750000000e-01   -3.6036955240e+01    9.9832349167e-01    9.9757281553e-01
        27   -3.6032341358e+01    6.7339931048e-01    2.0608790932e+03    2.0610000000e+03    3.1250000000e-01   -3.6040488769e+01    9.9831255213e-01    9.9611838913e-01
        28   -3.6035641053e+01    6.9401244405e-01    2.0588721466e+03    2.0590000000e+03    2.5000000000e-01   -3.6040694239e+01    9.9877139182e-01    9.9805730937e-01
        29   -3.6022194624e+01    6.9876660510e-01    2.0617673039e+03    2.0620000000e+03    1.8750000000e-01   -3.6039855017e+01    9.9837950110e-01    9.9854510184e-01
        30   -3.6023376628e+01    7.1715490118e-01    2.0686452830e+03    2.0690000000e+03    4.3750000000e-01   -3.6040023638e+01    9.9783386580e-01    9.9710004833e-01
        31   -3.6035894837e+01    7.0680786128e-01    2.0667021681e+03    2.0670000000e+03    1.8750000000e-01   -3.6042449759e+01    9.9861222287e-01    9.9709724238e-01
        32   -3.6037790727e+01    6.9302822415e-01    2.0688742221e+03    2.0690000000e+03    2.5000000000e-01   -3.6041799610e+01    9.9829612779e-01    9.9710004833e-01
        33   -3.6039623699e+01    6.9785173750e-01    2.0668644322e+03    2.0670000000e+03    3.1250000000e-01   -3.6043240925e+01    9.9826011040e-01    9.9612965651e-01
        34   -3.6039613164e+01    6.9540448407e-01    2.0679457983e+03    2.0680000000e+03    3.7500000000e-01   -3.6042734988e+01    9.9854342254e-01    9.9613152805e-01
        35   -3.6023606752e+01    6.8644104497e-01    2.0667514315e+03    2.0670000000e+03    3.1250000000e-01   -3.6043661187e+01    9.9826156945e-01    9.9709724238e-01
        36   -3.6019985544e+01    6.7435949470e-01    2.0675667566e+03    2.0680000000e+03    3.1250000000e-01   -3.6042435809e+01    9.9823235814e-01    9.9564796905e-01
        37   -3.6032618255e+01    6.6500535111e-01    2.0646959748e+03    2.0650000000e+03    3.7500000000e-01   -3.6042045759e+01    9.9837588108e-01    9.9709443099e-01
        38   -3.6021592239e+01    6.9333242889e-01    2.0637039422e+03    2.0640000000e+03    3.7500000000e-01   -3.6040660823e+01    9.9816196657e-01    9.9612403101e-01
        39   -3.6010037261e+01    6.8753176677e-01    2.0615061886e+03    2.0620000000e+03    3.1250000000e-01   -3.6039603955e+01    9.9833844045e-01    9.9709020369e-01
        40   -3.5995964320e+01    6.7210371944e-01    2.0612938558e+03    2.0620000000e+03    1.2500000000e-01   -3.6037442031e+01    9.9870870981e-01    9.9757516974e-01
        41   -3.5998456910e+01    7.1525410978e-01    2.0621931741e+03    2.0630000000e+03    3.1250000000e-01   -3.6035676906e+01    9.9857054089e-01    9.9854580708e-01
        42   -3.5993646303e+01    7.2063271180e-01    2.0641753270e+03    2.0650000000e+03    1.8750000000e-01   -3.6034715380e+01    9.9838701371e-01    9.9564164649e-01
        43   -3.5992507512e+01    7.0527772948e-01    2.0581341986e+03    2.0590000000e+03    3.7500000000e-01   -3.6034190769e+01    9.9833274671e-01    9.9320058281e-01
        44   -3.6017651150e+01    6.9568592853e-01    2.0495261864e+03    2.0500000000e+03    5.0000000000e-01   -3.6029850816e+01    9.9835235008e-01    9.9658536585e-01
        45   -3.6006360134e+01    6.6212076453e-01    2.0467186662e+03    2.0470000000e+03    1.8750000000e-01   -3.6025369069e+01    9.9837508914e-01    9.9658036150e-01
        46   -3.6006379648e+01    7.0092991496e-01    2.0476561033e+03    2.0480000000e+03    2.5000000000e-01   -3.6023295830e+01    9.9853921022e-01    9.9511718750e-01
        47   -3.6024238380e+01    7.2020818678e-01    2.0458561374e+03    2.0460000000e+03    4.3750000000e-01   -3.6023104040e+01    9.9841142990e-01    9.9706744868e-01
        48   -3.6031412829e+01    7.1870319185e-01    2.0471223503e+03    2.0470000000e+03    3.1250000000e-01   -3.6022259130e+01    9.9806148016e-01    9.9609184172e-01
        49   -3.6025435144e+01    7.5073320280e-01    2.0440973025e+03    2.0440000000e+03    2.5000000000e-01   -3.6023157384e+01    9.9858535082e-01    9.9608610568e-01
        50   -3.6017614293e+01    7.0212126933e-01    2.0450234108e+03    2.0450000000e+03    4.3750000000e-01   -3.6021740221e+01    9.9819154586e-01    9.9706601467e-01
        51   -3.6026725199e+01    6.7036671942e-01    2.0480193904e+03    2.0480000000e+03    3.7500000000e-01   -3.6021998559e+01    9.9808436310e-01    9.9902343750e-01
        52   -3.6044953311e+01    6.9152897187e-01    2.0572592795e+03    2.0570000000e+03    2.5000000000e-01   -3.6023564752e+01    9.9816538729e-01    9.9756927564e-01
        53   -3.6037000699e+01    6.8894274460e-01    2.0552353709e+03    2.0550000000e+03    2.5000000000e-01   -3.6028714652e+01    9.9798477947e-01    9.9562043796e-01
        54   -3.6061237953e+01    6.8934944877e-01    2.0574690287e+03    2.0570000000e+03    3.1250000000e-01   -3.6028106761e+01    9.9835446274e-01    9.9513855129e-01
        55   -3.6054124696e+01    6.9274650756e-01    2.0596148340e+03    2.0590000000e+03    2.5000000000e-01   -3.6030240352e+01    9.9853026436e-01    9.9854298203e-01
        56   -3.6066255181e+01    7.2681022574e-01    2.0676063001e+03    2.0670000000e+03    4.3750000000e-01   -3.6032074333e+01    9.9822780496e-01    9.9854862119e-01
        57   -3.6058035270e+01    7.9797053239e-01    2.0705260594e+03    2.0700000000e+03    6.2500000000e-02   -3.6037023555e+01    9.9814389754e-01    9.9565217391e-01
        58   -3.6053057897e+01    7.9115031632e-01    2.0743876405e+03    2.0740000000e+03    3.7500000000e-01   -3.6039238376e+01    9.9837760785e-01    9.9662487946e-01
        59   -3.6052922696e+01    7.5585880381e-01    2.0772392801e+03    2.0770000000e+03    3.7500000000e-01   -3.6041736498e+01    9.9810426355e-01    9.9614829080e-01
        60   -3.6057061472e+01    7.4135917544e-01    2.0782639793e+03    2.0780000000e+03    2.5000000000e-01   -3.6043709956e+01    9.9876805340e-01    9.9518768046e-01
        61   -3.6042179519e+01    7.3482965584e-01    2.0731025660e+03    2.0730000000e+03    3.1250000000e-01   -3.6044874536e+01    9.9851805961e-01    9.9710564399e-01
        62   -3.6047540253e+01    6.9437765681e-01    2.0700097214e+03    2.0700000000e+03    2.5000000000e-01   -3.6042673026e+01    9.9844469196e-01    9.9855072464e-01
        63   -3.6037715807e+01    6.9010856186e-01    2.0770510078e+03    2.0770000000e+03    3.7500000000e-01   -3.6041576528e+01    9.9783941956e-01    9.9614829080e-01
        64   -3.6049281051e+01    6.9519428771e-01    2.0799937919e+03    2.0800000000e+03    4.3750000000e-01   -3.6045127529e+01    9.9820233671e-01    9.9711538462e-01
        65   -3.6042533086e+01    6.6275312421e-01    2.0769866626e+03    2.0770000000e+03    1.2500000000e-01   -3.6046948644e+01    9.9806949279e-01    9.9662975445e-01
        66   -3.6033394281e+01    6.6717507033e-01    2.0808779076e+03    2.0810000000e+03    4.3750000000e-01   -3.6045742851e+01    9.9856392650e-01    9.9663623258e-01
        67   -3.6036162663e+01    6.6878161486e-01    2.0837665029e+03    2.0840000000e+03    3.1250000000e-01   -3.6047650897e+01    9.9804908103e-01    9.9808061420e-01
        68   -3.6026794973e+01    6.8118223456e-01    2.0836178918e+03    2.0840000000e+03    2.5000000000e-01   -3.6049130554e+01    9.9858339104e-01    9.9472168906e-01
        69   -3.6037420054e+01    6.5173855389e-01    2.0786788115e+03    2.0790000000e+03    3.7500000000e-01   -3.6048956738e+01    9.9835894936e-01    9.9615199615e-01
        70   -3.6039808267e+01    6.7489610784e-01    2.0768089097e+03    2.0770000000e+03    4.3750000000e-01   -3.6046697597e+01    9.9824198963e-01    9.9566682715e-01
        71   -3.6033186575e+01    6.5714969917e-01    2.0768398261e+03    2.0770000000e+03    3.1250000000e-01   -3.6045954090e+01    9.9806608930e-01    9.9374097256e-01
        72   -3.6037207737e+01    6.6252532777e-01    2.0698194059e+03    2.0700000000e+03    3.7500000000e-01   -3.6045992078e+01    9.9849410017e-01    9.9806763285e-01
        73   -3.6046526762e+01    6.9730234511e-01    2.0719910537e+03    2.0720000000e+03    2.5000000000e-01   -3.6042704116e+01    9.9835091912e-01    9.9710424710e-01
        74   -3.6061007471e+01    6.9776740320e-01    2.0752141634e+03    2.0750000000e+03    3.7500000000e-01   -3.6044019805e+01    9.9805469080e-01    9.9807228916e-01
        75   -3.6055515657e+01    6.7479943169e-01    2.0772431704e+03    2.0770000000e+03    3.1250000000e-01   -3.6046094775e+01    9.9800966012e-01    9.9711121810e-01
        76   -3.6062736260e+01    6.8452385251e-01    2.0752331025e+03    2.0750000000e+03    3.7500000000e-01   -3.6047475987e+01    9.9798166289e-01    9.9855421687e-01
        77   -3.6040845341e+01    6.6618889353e-01    2.0801021652e+03    2.0800000000e+03    3.1250000000e-01   -3.6047024317e+01    9.9858089254e-01    9.9807692308e-01
        78   -3.6033734371e+01    7.2727429494e-01    2.0807380202e+03    2.0810000000e+03    1.8750000000e-01   -3.6049489062e+01    9.9863651245e-01    9.9711677078e-01
        79   -3.6023969095e+01    7.3833826719e-01    2.0805627818e+03    2.0810000000e+03    2.5000000000e-01   -3.6049791287e+01    9.9821546326e-01    9.9807784719e-01
        80   -3.6019377610e+01    7.2223718168e-01    2.0864459194e+03    2.0870000000e+03    3.7500000000e-01   -3.6049541010e+01    9.9850971079e-01    9.9472927647e-01
        81   -3.6023697757e+01    6.9209117127e-01    2.0854071109e+03    2.0860000000e+03    3.7500000000e-01   -3.6052128806e+01    9.9822666582e-01    9.9712368169e-01
        82   -3.6019340489e+01    7.0373841571e-01    2.0863789884e+03    2.0870000000e+03    3.1250000000e-01   -3.6051472206e+01    9.9837882058e-01    9.9808337326e-01
        83   -3.6020467358e+01    6.7879061566e-01    2.0903239016e+03    2.0910000000e+03    4.3750000000e-01   -3.6051715415e+01    9.9790167032e-01    9.9569583931e-01
        84   -3.6013294947e+01    6.7637641042e-01    2.0832821127e+03    2.0840000000e+03    3.1250000000e-01   -3.6053406272e+01    9.9782976704e-01    9.9808061420e-01
        85   -3.6017076261e+01    7.0164783724e-01    2.0862677676e+03    2.0870000000e+03    1.8750000000e-01   -3.6049729430e+01    9.9872963759e-01    9.9568758984e-01
