#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5531234121e+01    1.2633143984e+03   -4.7715462892e+01    1.2184228771e+01   -8.7955153146e+00    3.7572113106e+00   -6.2590594140e+00   -3.6418099474e+01    1.0240401238e+04    1.0301329360e+00    9.9732788212e-01
         1   -3.5595611220e+01    1.2678580865e+03   -4.7749321607e+01    1.2153710387e+01   -8.7840570984e+00    3.7342219271e+00   -6.2813869612e+00   -3.6418099474e+01    1.0234409520e+04    1.0140040740e+00    9.9741529864e-01
         2   -3.5639097749e+01    1.2709538852e+03   -4.7730815357e+01    1.2091717608e+01   -8.8228272956e+00    3.8106351298e+00   -6.3005237170e+00   -3.6418099474e+01    1.0250592930e+04    1.0239032060e+00    9.9726104630e-01
         3   -3.5672177519e+01    1.2732973779e+03   -4.7721350699e+01    1.2049173180e+01   -8.8012851217e+00    3.8330063565e+00   -6.3349724592e+00   -3.6418099474e+01    1.0255263349e+04    1.0238249270e+00    9.9717276394e-01
         4   -3.5680427264e+01    1.2738469608e+03   -4.7762890858e+01    1.2082463594e+01   -8.6989172413e+00    3.7025129238e+00   -6.3483870660e+00   -3.6418099474e+01    1.0155268304e+04    1.0036779700e+00    9.9729549131e-01
         5   -3.5690118628e+01    1.2745192374e+03   -4.7813577309e+01    1.2123458681e+01   -8.6710805255e+00    3.6500568663e+00   -6.3744541760e+00   -3.6418099474e+01    1.0099913182e+04    1.0021203160e+00    9.9726199909e-01
         6   -3.5707007193e+01    1.2757201448e+03   -4.7868568545e+01    1.2161561353e+01   -8.6854365253e+00    3.6190833743e+00   -6.3841159201e+00   -3.6418099474e+01    1.0112915946e+04    1.0011868670e+00    9.9733918501e-01
         7   -3.5723477244e+01    1.2769390922e+03   -4.7837266230e+01    1.2113788985e+01   -8.7751685424e+00    3.7393452488e+00   -6.3833434617e+00   -3.6418099474e+01    1.0123705116e+04    1.0004291200e+00    9.9717561995e-01
         8   -3.5730259876e+01    1.2774256645e+03   -4.7818941062e+01    1.2088681186e+01   -8.8275493081e+00    3.8162361295e+00   -6.3895284094e+00   -3.6418099474e+01    1.0102071750e+04    1.0037463970e+00    9.9726853293e-01
         9   -3.5740298278e+01    1.2781376967e+03   -4.7836444606e+01    1.2096146328e+01   -8.8246720928e+00    3.8210254465e+00   -6.4146984860e+00   -3.6418099474e+01    1.0134085014e+04    1.0063605310e+00    9.9705849158e-01
        10   -3.5768286816e+01    1.2801184925e+03   -4.7803499112e+01    1.2035212296e+01   -8.8038199484e+00    3.8321105565e+00   -6.4136902462e+00   -3.6418099474e+01    1.0202970995e+04    1.0122311830e+00    9.9721743275e-01
        11   -3.5761531512e+01    1.2796054439e+03   -4.7842111377e+01    1.2080579865e+01   -8.8400674383e+00    3.8404788384e+00   -6.4244233034e+00   -3.6418099474e+01    1.0253650654e+04    1.0216851210e+00    9.9715219877e-01
        12   -3.5776910531e+01    1.2807226517e+03   -4.7815427809e+01    1.2038517278e+01   -8.8707077987e+00    3.9207451508e+00   -6.4473656869e+00   -3.6418099474e+01    1.0296911588e+04    1.0240123970e+00    9.9725408243e-01
        13   -3.5795147990e+01    1.2820565933e+03   -4.7879803358e+01    1.2084655368e+01   -8.8111472423e+00    3.8126110499e+00   -6.4631676914e+00   -3.6418099474e+01    1.0384385984e+04    1.0361035580e+00    9.9718389380e-01
        14   -3.5789385971e+01    1.2815816037e+03   -4.7899544566e+01    1.2110158595e+01   -8.7920357597e+00    3.7600290067e+00   -6.4494383389e+00   -3.6418099474e+01    1.0507857301e+04    1.0434398580e+00    9.9725562478e-01
        15   -3.5806810766e+01    1.2827928871e+03   -4.7996662299e+01    1.2189851533e+01   -8.7843807394e+00    3.6644708130e+00   -6.4586528984e+00   -3.6418099474e+01    1.0541535050e+04    1.0451459520e+00    9.9716590955e-01
