#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.4791864541e+01    1.2114339982e+03   -4.8108701270e+01    1.3316836730e+01   -9.6954710500e+00    3.9350463054e+00   -5.9301770515e+00   -3.6418099474e+01    2.0480000000e+04    5.3787233400e-01    6.8171793620e-01
         1   -3.4775815578e+01    1.2103290105e+03   -4.8142108888e+01    1.3366293310e+01   -9.7666974830e+00    3.9639888925e+00   -5.9213008235e+00   -3.6418099474e+01    2.0480000000e+04    5.3075563600e-01    6.8118722098e-01
         2   -3.4776160272e+01    1.2103353782e+03   -4.8159174096e+01    1.3383013824e+01   -9.6713139628e+00    3.8503402684e+00   -5.9201009275e+00   -3.6418099474e+01    2.0480000000e+04    5.2722198800e-01    6.8153366815e-01
         3   -3.4791978921e+01    1.2114329155e+03   -4.8143133597e+01    1.3351154676e+01   -9.7401156630e+00    3.9267109307e+00   -5.9116293904e+00   -3.6418099474e+01    2.0480000000e+04    5.3519090100e-01    6.8085646856e-01
         4   -3.4775749011e+01    1.2103083477e+03   -4.8173248419e+01    1.3397499409e+01   -9.6972666643e+00    3.8668978585e+00   -5.9247801393e+00   -3.6418099474e+01    2.0480000000e+04    5.4838867600e-01    6.8131684803e-01
         5   -3.4781284070e+01    1.2106781424e+03   -4.8122640873e+01    1.3341356803e+01   -9.6806034912e+00    3.9037950678e+00   -5.9277329758e+00   -3.6418099474e+01    2.0480000000e+04    5.4729852800e-01    6.8172433036e-01
         6   -3.4799878739e+01    1.2119631595e+03   -4.8212989817e+01    1.3413111078e+01   -9.7435277515e+00    3.8825730789e+00   -5.9339356707e+00   -3.6418099474e+01    2.0480000000e+04    5.4631919600e-01    6.8209693545e-01
         7   -3.4772236485e+01    1.2100497276e+03   -4.8172529128e+01    1.3400292643e+01   -9.6983973484e+00    3.8612158702e+00   -5.9172481757e+00   -3.6418099474e+01    2.0480000000e+04    5.7140593300e-01    6.8128022693e-01
         8   -3.4791245853e+01    1.2113597919e+03   -4.8118466161e+01    1.3327220308e+01   -9.7018695524e+00    3.9357191089e+00   -5.9342162434e+00   -3.6418099474e+01    2.0480000000e+04    5.4916791700e-01    6.8211146763e-01
         9   -3.4801056281e+01    1.2120384104e+03   -4.8210111895e+01    1.3409055614e+01   -9.7735175778e+00    3.9366960826e+00   -5.9551909256e+00   -3.6418099474e+01    2.0480000000e+04    5.2248541100e-01    6.8108026414e-01
        10   -3.4802347799e+01    1.2121461051e+03   -4.8128744518e+01    1.3326396719e+01   -9.7168898217e+00    3.9315025553e+00   -5.9252577776e+00   -3.6418099474e+01    2.0480000000e+04    5.4170098000e-01    6.8180338542e-01
        11   -3.4773572041e+01    1.2101312040e+03   -4.8159883199e+01    1.3386311158e+01   -9.7492683627e+00    3.9132918563e+00   -5.9058072180e+00   -3.6418099474e+01    2.0480000000e+04    5.2242668700e-01    6.8147612072e-01
        12   -3.4792606346e+01    1.2114632833e+03   -4.8165573632e+01    1.3372967285e+01   -9.7788348984e+00    3.9354672991e+00   -5.9041065581e+00   -3.6418099474e+01    2.0480000000e+04    5.4342293400e-01    6.8138369606e-01
        13   -3.4788049681e+01    1.2111360112e+03   -4.8124974660e+01    1.3336924979e+01   -9.7465697036e+00    3.9604326466e+00   -5.9207381291e+00   -3.6418099474e+01    2.0480000000e+04    5.3331210000e-01    6.8215913318e-01
        14   -3.4792015841e+01    1.2114298060e+03   -4.8123487379e+01    1.3331471538e+01   -9.7298450372e+00    3.9572228586e+00   -5.9327657261e+00   -3.6418099474e+01    2.0480000000e+04    5.1968118400e-01    6.8139939081e-01
        15   -3.4795465351e+01    1.2116513886e+03   -4.8173396460e+01    1.3377931109e+01   -9.8095269748e+00    3.9767067783e+00   -5.9224767895e+00   -3.6418099474e+01    2.0480000000e+04    5.2008023600e-01    6.8095528739e-01
        16   -3.4779378290e+01    1.2105509042e+03   -4.8144419056e+01    1.3365040766e+01   -9.8260474843e+00    4.0031094393e+00   -5.9033815370e+00   -3.6418099474e+01    2.0480000000e+04    5.2861279000e-01    6.8145519438e-01
