#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5308667159e+01    1.2474961253e+03   -4.8351300743e+01    1.3042633584e+01   -9.6134468658e+00    3.8421090752e+00   -6.1618634786e+00   -3.6418099474e+01    2.0473996141e+04    4.9284542800e-01    9.9891293727e-01
         1   -3.5308593211e+01    1.2474639461e+03   -4.8283424505e+01    1.2974831294e+01   -9.6129381458e+00    3.9460158679e+00   -6.1984027532e+00   -3.6418099474e+01    2.0476195281e+04    4.9014958400e-01    9.9893947323e-01
         2   -3.5322517181e+01    1.2485042236e+03   -4.8239021647e+01    1.2916504466e+01   -9.6645891694e+00    4.0572137411e+00   -6.2135467450e+00   -3.6418099474e+01    2.0529290565e+04    5.4792101700e-01    9.9891785436e-01
         3   -3.5325644651e+01    1.2487277943e+03   -4.8281511886e+01    1.2955867235e+01   -9.6931818576e+00    4.0397288766e+00   -6.2099594308e+00   -3.6418099474e+01    2.0487418581e+04    5.1695468900e-01    9.9889476951e-01
         4   -3.5330745152e+01    1.2490358854e+03   -4.8355709709e+01    1.3024964557e+01   -9.6623389401e+00    3.9474626991e+00   -6.2227339938e+00   -3.6418099474e+01    2.0514914661e+04    5.5883398700e-01    9.9900590537e-01
         5   -3.5340689944e+01    1.2497075629e+03   -4.8345836006e+01    1.3005146061e+01   -9.5496547004e+00    3.8647204478e+00   -6.2428022788e+00   -3.6418099474e+01    2.0638939571e+04    5.3216188600e-01    9.9892189166e-01
         6   -3.5302576138e+01    1.2469806052e+03   -4.8296575012e+01    1.2993998874e+01   -9.4162491534e+00    3.7946289758e+00   -6.2568553603e+00   -3.6418099474e+01    2.0623580000e+04    5.2979050100e-01    9.9898033377e-01
         7   -3.5305564651e+01    1.2472220332e+03   -4.8194869247e+01    1.2889304596e+01   -9.4030788032e+00    3.9000865935e+00   -6.2737775632e+00   -3.6418099474e+01    2.0536730360e+04    5.8645627000e-01    9.9901068942e-01
         8   -3.5314586970e+01    1.2478573710e+03   -4.8211544865e+01    1.2896957895e+01   -9.4677676230e+00    3.9311367667e+00   -6.2568145348e+00   -3.6418099474e+01    2.0451649567e+04    5.0842572500e-01    9.9895230179e-01
         9   -3.5312214183e+01    1.2477326094e+03   -4.8171207994e+01    1.2858993811e+01   -9.4298430833e+00    3.9319738719e+00   -6.2552393086e+00   -3.6418099474e+01    2.0304699369e+04    5.0842846000e-01    9.9899215535e-01
        10   -3.5299598856e+01    1.2467525348e+03   -4.8224429840e+01    1.2924830984e+01   -9.4276318045e+00    3.8886479764e+00   -6.2673465379e+00   -3.6418099474e+01    2.0200738311e+04    4.9106454100e-01    9.9898878470e-01
        11   -3.5304733145e+01    1.2471122762e+03   -4.8221307953e+01    1.2916574807e+01   -9.4667199891e+00    3.9548827017e+00   -6.2913711910e+00   -3.6418099474e+01    2.0220251795e+04    4.9250362900e-01    9.9899675004e-01
        12   -3.5280771060e+01    1.2454337514e+03   -4.8212437572e+01    1.2931666512e+01   -9.4933181902e+00    3.9684495505e+00   -6.2694694583e+00   -3.6418099474e+01    2.0213969479e+04    5.0150735800e-01    9.9894012408e-01
        13   -3.5280181206e+01    1.2454459012e+03   -4.8287580999e+01    1.3007399792e+01   -9.4409416858e+00    3.8265635630e+00   -6.2551034017e+00   -3.6418099474e+01    1.9991326275e+04    5.7168530600e-01    9.9895320505e-01
        14   -3.5309622057e+01    1.2475412641e+03   -4.8359588297e+01    1.3049966240e+01   -9.4280071276e+00    3.7602374860e+00   -6.2737191817e+00   -3.6418099474e+01    1.9980410228e+04    5.6048728700e-01    9.9896304136e-01
        15   -3.5309538250e+01    1.2474856170e+03   -4.8358971524e+01    1.3049433273e+01   -9.4533405903e+00    3.7972476366e+00   -6.2847790957e+00   -3.6418099474e+01    2.0086008952e+04    4.9033182900e-01    9.9895962269e-01
        16   -3.5306953010e+01    1.2473103253e+03   -4.8355600594e+01    1.3048647584e+01   -9.4557633715e+00    3.7665573488e+00   -6.2482950973e+00   -3.6418099474e+01    2.0150729178e+04    5.0888346500e-01    9.9902152642e-01
        17   -3.5306367440e+01    1.2472447063e+03   -4.8257801996e+01    1.2951434557e+01   -9.5593934163e+00    3.9466435729e+00   -6.2269526788e+00   -3.6418099474e+01    2.0122818585e+04    4.9268341600e-01    9.9899176370e-01
        18   -3.5306216028e+01    1.2472627690e+03   -4.8263957604e+01    1.2957741576e+01   -9.6541067604e+00    4.0285571048e+00   -6.2203084743e+00   -3.6418099474e+01    2.0284466619e+04    4.8098593600e-01    9.9900690938e-01
